production_order_id,product_id,plant_id,planned_qty,actual_qty,start_date,end_date,defect_rate_pct,production_cost
PO000033,P00024,PLANT-A,2000,1800,2023-10-05,2023-12-22,3.5,80000
PO000034,P00264,PLANT-A,,50,2023-08-24,2022-06-26,3.5,80000
PO000035,P00295,Plant_A,,,2024-01-29,2022-12-19,1.2,25000
PO000036,P00232,Plant_A,100,1800,2023-05-09,2024-07-10,1.2,25000
PO000037,P00072,Plant_B,,5000,2024-04-02,2022-02-25,0.5,80000
PO000038,P00039,Plant_A,500,,2024-09-23,2024-10-16,3.5,
PO000039,P00241,Plant_B,100,5000,2022-08-07,2022-06-27,3.5,80000
PO000040,P00196,,,50,2024-03-21,2023-08-21,3.5,-5000
PO000041,P00284,Plant_B,2000,400,2023-12-01,2023-02-28,15,
PO000042,P00111,,2000,50,2023-05-19,2022-10-18,15,10000
PO000043,P00256,Plant_B,,400,2023-01-19,2022-02-14,3.5,25000
PO000044,P00083,Plant_B,2000,5000,2024-12-03,2023-06-19,15,-5000
PO000045,P00013,,,400,2022-07-31,2024-05-31,,80000
PO000046,P00106,PLANT-A,100,50,2022-10-16,2023-02-21,1.2,
PO000047,P00231,,100,50,2023-02-05,2025-01-05,3.5,80000
PO000048,P00098,Plant_B,500,50,2022-12-14,2022-07-29,1.2,10000
PO000049,P00130,Plant_A,2000,50,2024-10-22,2025-01-15,15,10000
PO000050,P00171,,100,5000,2022-08-08,2024-03-04,3.5,-5000
PO000051,P00270,Plant_A,,400,2022-06-24,2024-01-26,,80000
PO000052,P00054,,100,1800,2024-06-20,2024-02-16,1.2,25000
PO000053,P00037,Plant_B,2000,50,2022-12-25,2022-03-31,,10000
PO000054,P00130,PLANT-A,500,,2022-09-27,2024-11-06,0.5,
PO000055,P00117,Plant_B,,50,2023-06-06,2023-10-15,1.2,25000
PO000056,P00038,Plant_B,2000,400,2024-04-16,2023-01-25,,-5000
PO000057,P00020,PLANT-A,500,1800,2022-11-14,2022-12-19,,80000
PO000058,P00296,PLANT-A,500,50,2024-08-29,2023-06-07,3.5,-5000
PO000059,P00021,Plant_B,2000,400,2023-07-25,2024-11-26,0.5,10000
PO000060,P00241,PLANT-A,100,50,2023-07-09,2022-06-21,1.2,-5000
PO000061,P00231,Plant_B,500,5000,2024-03-10,2022-10-16,15,25000
PO000062,P00195,PLANT-A,2000,400,2024-10-16,2022-08-07,0.5,10000
PO000063,P00144,PLANT-A,500,1800,2022-01-27,2024-12-13,,25000
PO000064,P00161,,100,,2023-08-10,2023-07-09,0.5,80000
PO000065,P00112,,,,2024-12-10,2023-09-08,0.5,25000
PO000066,P00216,PLANT-A,500,1800,2022-05-27,2023-12-28,15,-5000
PO000067,P00264,Plant_B,2000,400,2023-10-27,2022-02-03,,
PO000068,P00159,,100,5000,2022-09-04,2023-04-19,,-5000
PO000069,P00156,,2000,,2024-07-13,2022-04-08,15,10000
PO000070,P00224,Plant_A,,50,2024-12-03,2023-01-02,0.5,10000
PO000071,P00194,PLANT-A,,5000,2024-03-18,2023-03-08,15,-5000
PO000072,P00059,PLANT-A,2000,50,2022-08-02,2024-11-16,15,10000
PO000073,P00105,Plant_A,,50,2023-03-26,2022-12-28,0.5,
PO000074,P00002,PLANT-A,,,2023-11-30,2023-08-04,15,
PO000075,P00297,Plant_A,,1800,2024-06-10,2023-01-05,0.5,10000
PO000076,P00244,,100,5000,2024-10-17,2023-08-21,15,10000
PO000077,P00052,Plant_A,2000,50,2023-03-16,2025-01-01,15,
PO000078,P00074,Plant_B,,50,2024-11-21,2023-02-18,,
PO000079,P00057,Plant_A,,5000,2023-05-19,2023-02-01,,10000
PO000080,P00257,Plant_B,2000,5000,2022-08-27,2024-09-30,15,
PO000081,P00025,PLANT-A,100,,2024-11-16,2024-01-22,15,10000
PO000082,P00087,PLANT-A,100,1800,2022-05-28,2023-07-29,15,10000
PO000083,P00287,Plant_A,100,1800,2024-01-02,2022-10-22,,25000
PO000084,P00069,PLANT-A,2000,,2022-02-12,2024-06-13,15,25000
PO000085,P00103,Plant_B,2000,50,2022-07-30,2023-03-07,15,
PO000086,P00212,,2000,5000,2023-07-27,2023-01-01,,25000
PO000087,P00267,Plant_B,,50,2022-03-06,2022-04-14,3.5,25000
PO000088,P00018,,2000,400,2022-07-31,2022-01-13,,
PO000089,P00288,PLANT-A,100,5000,2023-11-29,2022-09-29,3.5,25000
PO000090,P00052,PLANT-A,,,2022-04-06,2022-03-05,15,25000
PO000091,P00152,Plant_A,500,5000,2022-02-13,2025-01-17,3.5,
PO000092,P00127,PLANT-A,,400,2024-03-24,2023-04-13,0.5,80000
PO000093,P00001,Plant_A,2000,400,2023-06-15,2023-08-25,,10000
PO000094,P00278,Plant_B,500,50,2024-09-04,2022-03-31,1.2,-5000
PO000095,P00248,Plant_A,,5000,2024-05-10,2024-12-12,0.5,-5000
PO000096,P00261,,2000,50,2022-06-22,2024-09-23,,10000
PO000097,P00149,Plant_B,500,400,2024-12-01,2022-05-09,1.2,
PO000098,P00201,Plant_A,500,5000,2023-04-05,2022-04-02,0.5,10000
PO000099,P00090,Plant_B,100,,2022-08-07,2024-04-04,1.2,
PO000100,P00115,Plant_A,100,,2023-12-05,2023-08-21,15,25000
PO000101,P00018,,100,1800,2023-05-17,2023-08-26,0.5,
PO000102,P00280,Plant_A,500,5000,2024-09-01,2024-04-13,,-5000
PO000103,P00108,Plant_A,500,5000,2023-03-27,2024-09-29,3.5,10000
PO000104,P00272,PLANT-A,2000,50,2022-09-20,2024-08-24,15,80000
PO000105,P00293,PLANT-A,500,400,2023-03-18,2022-10-29,,-5000
PO000106,P00071,,2000,5000,2022-03-21,2022-07-29,0.5,10000
PO000107,P00150,,,400,2023-09-28,2022-04-12,0.5,-5000
PO000108,P00136,Plant_B,2000,1800,2023-06-12,2024-03-31,,
PO000109,P00079,Plant_B,2000,50,2023-12-17,2022-05-03,,80000
PO000110,P00157,PLANT-A,100,1800,2024-04-24,2023-03-01,0.5,
PO000111,P00095,Plant_B,100,,2022-06-18,2022-11-12,0.5,80000
PO000112,P00230,Plant_A,500,1800,2022-08-12,2023-10-27,15,-5000
PO000113,P00298,,,400,2022-11-21,2022-02-22,3.5,10000
PO000114,P00016,Plant_A,500,1800,2024-05-11,2022-07-09,0.5,
PO000115,P00039,PLANT-A,,1800,2024-08-01,2022-06-04,15,-5000
PO000116,P00061,,,,2023-01-30,2024-07-26,3.5,25000
PO000117,P00264,Plant_B,2000,1800,2023-02-19,2024-05-17,3.5,
PO000118,P00167,Plant_B,2000,5000,2023-08-05,2022-06-03,15,10000
PO000119,P00018,Plant_B,2000,400,2023-02-23,2022-06-23,0.5,80000
PO000120,P00095,Plant_A,500,1800,2023-07-29,2024-12-02,3.5,10000
PO000121,P00243,,500,400,2023-06-15,2025-01-29,,80000
PO000122,P00295,Plant_A,100,400,2024-11-03,2023-12-13,1.2,25000
PO000123,P00061,PLANT-A,100,1800,2024-12-25,2024-01-11,1.2,10000
PO000124,P00024,Plant_A,,1800,2022-04-08,2022-11-13,15,80000
PO000125,P00154,,500,5000,2024-03-11,2022-11-11,15,
PO000126,P00147,,500,50,2022-07-16,2023-08-16,,25000
PO000127,P00156,Plant_A,100,1800,2023-12-29,2022-04-22,,10000
PO000128,P00085,Plant_B,100,50,2024-07-26,2022-12-31,3.5,25000
PO000129,P00096,,,400,2024-07-27,2024-04-11,,25000
PO000130,P00261,,100,50,2024-11-07,2025-01-29,3.5,80000
PO000131,P00011,,100,50,2022-09-19,2022-12-14,1.2,25000
PO000132,P00227,Plant_B,500,1800,2023-12-11,2024-02-17,15,-5000
PO000133,P00119,,500,400,2024-03-13,2022-01-12,1.2,-5000
PO000134,P00294,PLANT-A,2000,50,2023-02-05,2024-02-14,15,
PO000135,P00231,Plant_B,,50,2022-05-09,2023-03-29,0.5,
PO000136,P00081,Plant_B,,400,2023-07-19,2023-10-21,0.5,25000
PO000137,P00289,PLANT-A,2000,,2023-01-14,2024-04-26,,-5000
PO000138,P00034,Plant_B,,,2023-02-17,2024-02-01,0.5,10000
PO000139,P00082,PLANT-A,100,5000,2024-11-28,2023-10-12,3.5,80000
PO000140,P00252,Plant_A,2000,1800,2024-04-23,2023-03-05,0.5,
PO000141,P00194,Plant_B,100,,2023-11-11,2022-08-17,,80000
PO000142,P00179,Plant_A,100,5000,2024-01-25,2023-03-01,,10000
PO000143,P00214,Plant_B,100,50,2024-05-08,2023-10-07,,
PO000144,P00238,,2000,5000,2024-11-27,2022-01-15,0.5,
PO000145,P00001,PLANT-A,2000,400,2024-04-19,2024-12-12,0.5,-5000
PO000146,P00258,,100,5000,2024-12-27,2024-12-09,15,10000
PO000147,P00104,Plant_B,,400,2024-10-16,2023-02-17,0.5,-5000
PO000148,P00030,,500,,2022-08-04,2024-11-22,1.2,
PO000149,P00299,Plant_B,500,5000,2023-02-10,2024-01-30,1.2,25000
PO000150,P00051,Plant_A,,1800,2023-02-20,2025-01-03,,-5000
PO000151,P00060,Plant_B,100,400,2023-01-17,2022-09-10,1.2,25000
PO000152,P00091,PLANT-A,100,5000,2024-05-21,2024-07-18,1.2,80000
PO000153,P00278,Plant_A,500,50,2024-12-04,2024-04-30,,10000
PO000154,P00246,,100,1800,2024-01-14,2024-05-09,0.5,80000
PO000155,P00279,,,1800,2024-02-10,2023-01-28,15,-5000
PO000156,P00119,,2000,50,2022-12-27,2023-07-05,3.5,-5000
PO000157,P00072,Plant_A,100,1800,2024-12-06,2022-10-21,,-5000
PO000158,P00151,,,,2022-08-13,2022-10-01,0.5,-5000
PO000159,P00236,,500,1800,2024-02-11,2022-11-11,1.2,80000
PO000160,P00195,Plant_A,,1800,2023-04-30,2024-05-26,3.5,
PO000161,P00110,PLANT-A,2000,5000,2022-02-22,2023-10-09,0.5,25000
PO000162,P00220,,500,1800,2024-06-30,2022-01-01,1.2,25000
PO000163,P00287,Plant_A,,50,2023-05-31,2023-09-05,1.2,80000
PO000164,P00147,Plant_A,100,1800,2024-07-23,2023-12-01,15,25000
PO000165,P00135,,100,400,2024-08-23,2024-03-16,3.5,80000
PO000166,P00093,PLANT-A,2000,5000,2023-01-04,2025-01-17,15,
PO000167,P00299,Plant_A,2000,,2022-07-20,2024-07-06,,
PO000168,P00107,PLANT-A,500,5000,2023-09-23,2024-04-03,3.5,
PO000169,P00190,PLANT-A,,5000,2024-10-21,2022-04-03,1.2,25000
PO000170,P00118,PLANT-A,2000,,2022-01-14,2024-08-27,,80000
PO000171,P00155,Plant_A,,1800,2022-02-23,2024-03-25,3.5,25000
PO000172,P00188,Plant_B,100,50,2023-05-14,2024-10-04,0.5,25000
PO000173,P00124,Plant_A,2000,5000,2022-10-18,2023-11-22,3.5,10000
PO000174,P00267,Plant_A,,50,2023-03-01,2024-01-17,15,80000
PO000175,P00087,PLANT-A,2000,,2024-12-01,2023-02-28,,-5000
PO000176,P00010,PLANT-A,500,50,2022-03-27,2023-01-20,1.2,-5000
PO000177,P00044,,500,400,2022-03-26,2022-12-13,,10000
PO000178,P00068,Plant_B,500,1800,2024-04-30,2024-07-18,1.2,
PO000179,P00002,Plant_A,100,400,2024-11-08,2024-05-28,,-5000
PO000180,P00235,PLANT-A,,50,2023-09-17,2022-09-06,,25000
PO000181,P00299,,,1800,2022-08-04,2022-04-18,3.5,10000
PO000182,P00286,PLANT-A,,400,2024-11-28,2023-03-26,1.2,80000
PO000183,P00142,Plant_A,100,5000,2023-05-06,2022-01-01,3.5,
PO000184,P00114,,500,5000,2024-02-10,2023-06-17,1.2,10000
PO000185,P00095,PLANT-A,500,1800,2024-03-07,2022-09-25,,-5000
PO000186,P00204,Plant_A,2000,1800,2024-12-13,2023-11-15,1.2,-5000
PO000187,P00162,PLANT-A,500,50,2023-04-07,2023-03-27,3.5,80000
PO000188,P00236,PLANT-A,2000,400,2023-03-01,2024-12-31,1.2,
PO000189,P00226,Plant_A,,,2022-07-01,2024-09-30,,25000
PO000190,P00229,,,5000,2024-03-26,2023-09-29,1.2,-5000
PO000191,P00294,,,400,2022-07-25,2023-08-27,0.5,
PO000192,P00298,Plant_B,2000,,2022-10-28,2024-07-22,,-5000
PO000193,P00188,Plant_B,,1800,2024-11-27,2022-08-20,15,25000
PO000194,P00138,,2000,,2023-03-08,2022-04-04,3.5,-5000
PO000195,P00200,PLANT-A,100,5000,2023-05-17,2023-07-31,1.2,
PO000196,P00172,Plant_A,2000,50,2024-09-19,2022-03-10,,-5000
PO000197,P00288,Plant_B,2000,,2024-11-01,2023-03-17,,80000
PO000198,P00037,PLANT-A,500,50,2022-06-28,2025-01-02,1.2,
PO000199,P00286,Plant_A,2000,5000,2024-08-18,2023-04-24,,-5000
PO000200,P00193,,500,50,2024-06-19,2023-02-09,3.5,-5000
PO000201,P00250,Plant_B,500,50,2023-11-09,2023-07-14,,10000
PO000202,P00179,,100,1800,2023-09-27,2023-07-04,1.2,80000
PO000203,P00131,Plant_A,500,,2023-07-13,2022-03-06,1.2,80000
PO000204,P00030,,2000,1800,2023-06-08,2023-06-01,,25000
PO000205,P00193,PLANT-A,2000,1800,2022-06-17,2022-06-01,1.2,10000
PO000206,P00294,Plant_A,2000,50,2023-04-26,2024-10-29,3.5,25000
PO000207,P00249,Plant_A,100,400,2024-05-03,2024-11-15,15,
PO000208,P00064,,500,,2022-02-07,2022-10-20,1.2,-5000
PO000209,P00260,PLANT-A,2000,400,2024-07-03,2023-05-03,1.2,25000
PO000210,P00224,Plant_A,2000,400,2022-12-18,2024-12-01,15,10000
PO000211,P00203,Plant_A,2000,400,2022-09-08,2022-11-15,,80000
PO000212,P00069,PLANT-A,2000,5000,2023-02-12,2022-01-25,,-5000
PO000213,P00284,Plant_B,500,400,2023-11-07,2023-08-02,,80000
PO000214,P00022,Plant_B,2000,400,2022-07-05,2023-09-26,15,10000
PO000215,P00236,PLANT-A,,50,2023-08-16,2024-09-23,,25000
PO000216,P00054,Plant_A,,400,2024-11-30,2024-02-04,3.5,-5000
PO000217,P00157,Plant_B,100,5000,2024-06-30,2022-10-09,15,10000
PO000218,P00029,Plant_B,500,,2023-02-23,2022-11-26,3.5,25000
PO000219,P00188,PLANT-A,2000,50,2022-03-10,2022-10-01,3.5,80000
PO000220,P00044,Plant_B,,5000,2024-08-12,2022-06-07,1.2,10000
PO000221,P00142,Plant_A,2000,,2022-08-08,2022-12-07,,10000
PO000222,P00035,Plant_A,,1800,2024-11-19,2022-05-10,15,
PO000223,P00051,PLANT-A,2000,,2023-04-23,2023-11-06,15,80000
PO000224,P00055,Plant_A,,50,2024-02-16,2023-05-21,15,-5000
PO000225,P00300,,500,1800,2023-01-07,2024-08-11,1.2,
PO000226,P00009,Plant_A,100,,2024-10-10,2023-02-01,1.2,-5000
PO000227,P00086,Plant_A,2000,,2024-08-17,2023-07-11,1.2,80000
PO000228,P00044,,100,1800,2024-01-05,2023-06-12,3.5,-5000
PO000229,P00049,Plant_A,2000,400,2024-09-09,2022-04-16,15,
PO000230,P00052,,100,1800,2022-05-05,2023-03-27,,-5000
PO000231,P00277,PLANT-A,500,400,2023-05-06,2022-09-20,3.5,-5000
PO000232,P00284,PLANT-A,500,,2024-07-06,2022-11-17,1.2,
PO000233,P00069,Plant_A,100,50,2024-03-01,2024-11-29,1.2,80000
PO000234,P00115,Plant_B,2000,5000,2022-09-28,2022-12-12,3.5,25000
PO000235,P00219,PLANT-A,100,5000,2024-03-27,2023-04-29,3.5,-5000
PO000236,P00126,Plant_A,100,,2022-02-28,2023-08-21,3.5,25000
PO000237,P00278,PLANT-A,500,400,2024-03-29,2023-07-05,15,80000
PO000238,P00215,PLANT-A,2000,5000,2024-12-15,2022-12-12,,
PO000239,P00059,Plant_B,500,1800,2022-07-04,2022-01-23,0.5,-5000
PO000240,P00146,Plant_B,,400,2024-10-22,2025-01-06,15,
PO000241,P00230,,2000,5000,2022-10-27,2022-02-13,3.5,-5000
PO000242,P00224,Plant_A,100,400,2023-10-08,2024-04-20,15,25000
PO000243,P00232,PLANT-A,2000,400,2022-07-01,2024-01-09,1.2,80000
PO000244,P00214,PLANT-A,100,1800,2022-09-13,2022-11-05,3.5,25000
PO000245,P00141,Plant_A,,400,2024-10-04,2024-12-07,,10000
PO000246,P00049,,2000,400,2022-08-24,2024-05-07,0.5,25000
PO000247,P00192,,,400,2023-04-21,2025-01-13,,80000
PO000248,P00152,Plant_B,100,5000,2023-10-19,2023-06-27,15,80000
PO000249,P00293,Plant_B,500,1800,2023-12-23,2022-12-25,0.5,25000
PO000250,P00106,PLANT-A,,5000,2024-12-27,2022-02-03,,10000
PO000251,P00248,Plant_B,500,,2024-07-29,2022-04-12,,25000
PO000252,P00171,Plant_A,,1800,2023-02-13,2024-09-12,1.2,10000
PO000253,P00207,,100,50,2023-07-16,2024-11-16,3.5,10000
PO000254,P00221,Plant_A,100,50,2022-06-23,2022-06-18,3.5,25000
PO000255,P00155,PLANT-A,500,400,2024-08-03,2024-09-05,15,10000
PO000256,P00154,,500,,2024-10-14,2023-09-13,0.5,10000
PO000257,P00176,Plant_B,100,1800,2022-04-12,2024-05-21,15,10000
PO000258,P00009,Plant_B,100,1800,2022-08-05,2022-06-26,15,
PO000259,P00239,,,5000,2022-10-05,2022-06-04,,80000
PO000260,P00157,,2000,50,2022-01-20,2024-05-07,15,-5000
PO000261,P00056,Plant_B,500,400,2024-05-03,2022-12-14,1.2,
PO000262,P00222,Plant_A,500,5000,2022-12-09,2023-12-22,3.5,10000
PO000263,P00058,PLANT-A,500,,2022-05-14,2024-01-15,15,25000
PO000264,P00291,,,5000,2023-09-20,2024-03-14,0.5,80000
PO000265,P00140,Plant_B,500,1800,2023-05-03,2025-01-30,3.5,-5000
PO000266,P00083,PLANT-A,500,1800,2023-07-05,2023-07-03,,
PO000267,P00169,PLANT-A,500,50,2022-12-06,2022-03-26,3.5,10000
PO000268,P00177,,,1800,2024-06-01,2022-04-28,3.5,
PO000269,P00065,Plant_B,100,1800,2022-06-25,2022-07-27,1.2,80000
PO000270,P00173,Plant_A,,50,2024-05-07,2022-10-13,3.5,
PO000271,P00084,PLANT-A,2000,,2022-06-01,2025-01-04,15,25000
PO000272,P00050,PLANT-A,100,50,2024-08-08,2022-03-22,15,80000
PO000273,P00283,,100,,2024-08-06,2024-09-13,15,
PO000274,P00074,Plant_A,,400,2023-12-21,2022-10-22,3.5,10000
PO000275,P00194,Plant_A,500,400,2024-04-19,2023-12-01,1.2,-5000
PO000276,P00240,,2000,50,2024-10-24,2022-10-22,15,25000
PO000277,P00127,,,1800,2023-06-18,2024-04-01,1.2,-5000
PO000278,P00039,,,50,2024-05-07,2022-01-31,1.2,80000
PO000279,P00020,Plant_A,500,400,2023-06-09,2022-07-08,0.5,80000
PO000280,P00095,PLANT-A,500,1800,2024-02-05,2023-12-02,0.5,-5000
PO000281,P00259,Plant_B,,5000,2024-06-14,2022-11-01,0.5,25000
PO000282,P00135,,100,400,2023-09-16,2023-05-29,15,80000
PO000283,P00265,Plant_B,100,1800,2023-03-06,2023-09-12,3.5,25000
PO000284,P00067,,100,,2024-03-11,2022-08-22,3.5,-5000
PO000285,P00082,Plant_A,500,,2023-03-12,2024-08-26,1.2,80000
PO000286,P00230,Plant_A,500,,2022-12-24,2023-06-14,15,-5000
PO000287,P00130,Plant_B,500,5000,2022-12-30,2024-01-12,3.5,25000
PO000288,P00127,Plant_B,100,400,2024-03-10,2024-11-19,3.5,80000
PO000289,P00253,PLANT-A,2000,5000,2023-04-05,2023-01-31,,80000
PO000290,P00293,PLANT-A,2000,400,2022-11-18,2022-03-16,15,25000
PO000291,P00058,Plant_B,500,1800,2022-08-01,2023-03-02,,
PO000292,P00176,Plant_A,500,400,2024-09-16,2022-11-02,1.2,-5000
PO000293,P00074,PLANT-A,,50,2024-08-02,2023-08-27,15,10000
PO000294,P00050,PLANT-A,500,50,2022-01-01,2022-05-16,15,80000
PO000295,P00220,Plant_B,,50,2023-12-13,2025-01-26,1.2,25000
PO000296,P00046,Plant_A,,400,2023-05-30,2024-02-20,3.5,-5000
PO000297,P00139,Plant_B,500,400,2024-07-09,2024-09-01,0.5,10000
PO000298,P00282,Plant_B,,5000,2023-04-24,2022-11-18,15,-5000
PO000299,P00110,Plant_A,500,5000,2023-10-09,2023-12-09,15,80000
PO000300,P00007,PLANT-A,100,,2024-06-27,2022-07-21,0.5,10000
PO000301,P00277,PLANT-A,100,,2023-02-13,2025-01-26,0.5,
PO000302,P00098,Plant_A,100,50,2024-01-09,2022-01-25,1.2,25000
PO000303,P00132,Plant_A,100,5000,2022-08-08,2024-05-27,1.2,25000
PO000304,P00164,,500,5000,2024-08-22,2024-11-09,15,-5000
PO000305,P00264,PLANT-A,500,1800,2024-02-03,2023-07-19,0.5,-5000
PO000306,P00121,,500,400,2022-08-17,2022-10-20,3.5,-5000
PO000307,P00107,Plant_A,100,400,2024-03-22,2024-05-26,0.5,10000
PO000308,P00192,Plant_A,,1800,2023-07-15,2024-04-25,15,
PO000309,P00216,Plant_B,100,50,2022-04-23,2022-12-30,3.5,25000
PO000310,P00069,Plant_B,2000,1800,2024-04-29,2024-09-26,3.5,-5000
PO000311,P00206,Plant_B,100,1800,2023-04-23,2024-01-15,15,80000
PO000312,P00124,,500,,2024-10-19,2024-10-17,1.2,80000
PO000313,P00239,Plant_A,,5000,2022-11-29,2022-02-10,3.5,80000
PO000314,P00197,PLANT-A,2000,,2024-03-28,2023-07-25,1.2,80000
PO000315,P00032,PLANT-A,100,5000,2022-08-01,2023-12-17,15,
PO000316,P00043,Plant_B,100,400,2022-06-09,2023-11-05,15,80000
PO000317,P00036,,,5000,2024-09-01,2023-06-17,3.5,80000
PO000318,P00009,,100,400,2022-01-07,2022-08-31,,10000
PO000319,P00169,Plant_A,500,400,2022-03-15,2024-03-09,1.2,
PO000320,P00175,Plant_A,2000,400,2022-06-06,2022-01-06,3.5,-5000
PO000321,P00001,Plant_A,100,1800,2023-08-15,2022-06-05,0.5,-5000
PO000322,P00244,Plant_A,2000,,2024-12-24,2023-04-22,,80000
PO000323,P00188,,2000,400,2024-06-03,2023-03-26,0.5,-5000
PO000324,P00254,Plant_A,100,,2023-12-02,2024-09-21,1.2,80000
PO000325,P00223,Plant_A,100,400,2022-09-03,2023-06-21,15,10000
PO000326,P00288,Plant_B,500,5000,2024-03-07,2024-03-09,,
PO000327,P00216,,500,400,2022-09-02,2024-12-18,0.5,10000
PO000328,P00046,,,1800,2024-04-29,2022-12-03,1.2,-5000
PO000329,P00188,,500,400,2024-10-18,2024-12-12,15,25000
PO000330,P00237,Plant_A,100,400,2022-06-29,2023-08-13,3.5,10000
PO000331,P00139,Plant_A,2000,400,2022-03-05,2022-12-05,,-5000
PO000332,P00206,,,5000,2023-06-19,2022-08-11,3.5,80000
PO000333,P00047,,500,50,2023-03-15,2024-07-10,15,80000
PO000334,P00203,PLANT-A,2000,5000,2022-11-07,2024-12-31,3.5,-5000
PO000335,P00223,PLANT-A,2000,1800,2023-01-19,2023-03-21,15,25000
PO000336,P00010,,2000,1800,2024-12-03,2022-02-08,3.5,
PO000337,P00246,Plant_A,2000,1800,2022-01-27,2022-05-10,,10000
PO000338,P00136,Plant_B,,50,2024-06-14,2024-04-28,15,25000
PO000339,P00246,,2000,,2022-08-31,2024-05-25,,25000
PO000340,P00267,Plant_B,,50,2022-09-22,2022-11-16,15,-5000
PO000341,P00229,Plant_B,,1800,2024-02-29,2023-04-16,0.5,25000
PO000342,P00074,Plant_A,500,5000,2023-07-09,2024-01-10,15,80000
PO000343,P00009,Plant_B,100,400,2022-09-30,2023-07-08,15,
PO000344,P00161,,,50,2023-11-17,2024-10-24,3.5,80000
PO000345,P00103,PLANT-A,,50,2023-07-11,2024-11-05,1.2,25000
PO000346,P00007,,100,400,2022-02-27,2024-05-03,,80000
PO000347,P00052,PLANT-A,2000,400,2024-11-23,2022-03-05,15,25000
PO000348,P00268,PLANT-A,100,,2023-11-23,2023-01-17,0.5,
PO000349,P00110,Plant_B,2000,1800,2024-12-17,2024-10-10,3.5,
PO000350,P00095,Plant_A,2000,50,2024-11-11,2022-12-25,0.5,
PO000351,P00233,PLANT-A,100,,2022-08-03,2025-01-05,0.5,
PO000352,P00232,Plant_B,100,5000,2022-09-17,2022-09-26,3.5,
PO000353,P00035,,2000,,2023-02-25,2022-06-25,15,
PO000354,P00292,,2000,400,2024-12-20,2022-03-21,,10000
PO000355,P00142,Plant_B,500,50,2023-11-01,2022-06-22,3.5,25000
PO000356,P00287,,2000,1800,2024-02-20,2022-09-25,,10000
PO000357,P00054,,,,2023-01-09,2024-02-27,15,25000
PO000358,P00289,Plant_B,2000,,2023-09-20,2022-07-30,3.5,80000
PO000359,P00108,PLANT-A,500,50,2022-02-08,2024-11-20,0.5,10000
PO000360,P00178,Plant_A,2000,1800,2023-06-07,2024-07-24,15,-5000
PO000361,P00243,Plant_A,100,5000,2022-03-22,2023-05-31,15,-5000
PO000362,P00100,Plant_A,2000,50,2024-11-21,2024-02-13,15,80000
PO000363,P00082,PLANT-A,500,,2024-05-19,2022-12-08,0.5,
PO000364,P00059,Plant_A,,,2024-04-13,2022-06-19,0.5,
