sales_id,date,product_id,region,channel,units_sold,selling_price,promotion_flag,discount_pct,holiday_flag
S0000127,2023-01-11,P00181,South,online ,0,121.11,,0,1
S0000128,2022-08-24,P00250,,,0,121.11,,0,0
S0000129,2023-02-04,P00045,NORTH ,Wholesale,0,121.11,1,0,0
S0000130,2023-05-22,P00237,South,Wholesale,0,121.11,,0,1
S0000131,2023-03-18,P00144,north,online ,-10,121.11,0,,0
S0000132,2022-06-02,P00065,South,online ,100,121.11,,0,1
S0000133,2023-07-20,P00200,,online ,,121.11,0,0,0
S0000134,2022-01-13,P00208,north,,500,121.11,1,30,0
S0000135,2023-10-12,P00187,,Online,100,121.11,1,0,
S0000136,2024-05-27,P00067,East,online ,100,121.11,1,10,0
S0000137,2023-03-14,P00258,East,,5,121.11,0,30,
S0000138,2024-04-04,P00149,north,online ,-10,121.11,,0,
S0000139,2022-01-20,P00231,,Online,5,121.11,,30,
S0000140,2022-07-15,P00078,north,Retail,-10,121.11,,80,1
S0000141,2023-03-05,P00172,South,,5,121.11,0,,
S0000142,2022-01-14,P00110,South,Retail,20,121.11,1,5,0
S0000143,2024-10-16,P00068,East,Online,20,121.11,,0,0
S0000144,2024-03-11,P00200,East,Wholesale,5,121.11,1,30,0
S0000145,2023-04-18,P00270,north,Wholesale,1,121.11,0,30,
S0000146,2024-06-10,P00198,north,,20,121.11,,5,1
S0000147,2023-08-29,P00115,East,Retail,,121.11,0,,
S0000148,2024-06-09,P00277,NORTH ,Online,,121.11,0,80,
S0000149,2022-10-09,P00168,South,,20,121.11,,0,0
S0000150,2024-12-19,P00148,North,online ,20,121.11,0,0,1
S0000151,2024-10-13,P00232,South,,500,121.11,,10,1
S0000152,2024-03-31,P00295,East,Retail,5,121.11,0,80,
S0000153,2022-09-18,P00145,north,Wholesale,1,121.11,0,,
S0000154,2022-04-19,P00264,East,Online,-10,121.11,,80,1
S0000155,2023-01-01,P00124,South,Wholesale,,121.11,1,5,1
S0000156,2022-12-12,P00247,NORTH ,Wholesale,,121.11,0,80,
S0000157,2024-09-17,P00208,north,Wholesale,0,121.11,,10,
S0000158,2024-12-06,P00161,East,Wholesale,500,121.11,1,0,1
S0000159,2024-04-24,P00106,,Wholesale,1,121.11,1,5,1
S0000160,2022-08-25,P00085,north,Wholesale,20,121.11,0,,1
S0000161,2024-12-12,P00186,East,online ,5,121.11,0,,1
S0000162,2024-04-08,P00232,North,online ,100,121.11,,,0
S0000163,2023-07-27,P00057,South,Online,5,121.11,0,,0
S0000164,2024-11-17,P00225,NORTH ,Retail,-10,121.11,1,10,1
S0000165,2024-06-19,P00163,NORTH ,,5,121.11,,30,0
S0000166,2024-05-06,P00138,north,Online,1,121.11,,0,
S0000167,2022-04-03,P00175,,Wholesale,0,121.11,0,10,
S0000168,2022-10-01,P00114,South,online ,500,121.11,1,80,0
S0000169,2024-10-24,P00143,north,online ,-10,121.11,,80,
S0000170,2023-11-30,P00129,north,Wholesale,0,121.11,,10,0
S0000171,2022-06-14,P00161,,Online,-10,121.11,0,,1
S0000172,2024-03-20,P00103,East,,,121.11,1,30,0
S0000173,2024-07-07,P00011,South,Retail,20,121.11,1,0,
S0000174,2023-02-08,P00167,,online ,0,121.11,1,5,1
S0000175,2024-05-27,P00191,north,,100,121.11,1,0,
S0000176,2022-02-04,P00220,north,Wholesale,1,121.11,,5,0
S0000177,2024-06-06,P00011,North,Retail,1,121.11,,,0
S0000178,2022-11-05,P00092,NORTH ,online ,20,121.11,0,30,
S0000179,2023-07-01,P00206,North,Retail,5,121.11,,10,1
S0000180,2024-06-16,P00297,north,Wholesale,1,121.11,,,0
S0000181,2022-08-08,P00282,East,,-10,121.11,1,0,0
S0000182,2022-11-16,P00287,South,Wholesale,20,121.11,0,10,1
S0000183,2023-07-25,P00116,NORTH ,Online,5,121.11,1,30,1
S0000184,2022-09-03,P00150,South,online ,0,121.11,0,30,
S0000185,2024-09-27,P00283,South,Retail,-10,121.11,,,0
S0000186,2023-08-10,P00281,NORTH ,Wholesale,1,121.11,0,0,
S0000187,2024-07-08,P00172,North,Retail,500,121.11,1,10,1
S0000188,2024-07-21,P00262,North,online ,100,121.11,,30,1
S0000189,2023-05-23,P00144,,Retail,0,121.11,0,0,0
S0000190,2024-02-18,P00097,north,Wholesale,500,121.11,1,80,
S0000191,2022-10-06,P00077,South,Wholesale,0,121.11,1,30,0
S0000192,2023-05-26,P00021,East,,100,121.11,0,0,1
S0000193,2024-12-19,P00048,north,Online,-10,121.11,1,10,1
S0000194,2024-06-21,P00258,north,online ,100,121.11,1,0,1
S0000195,2023-12-13,P00189,north,online ,,121.11,,5,1
S0000196,2023-07-04,P00300,South,Wholesale,1,121.11,,,0
S0000197,2024-10-27,P00139,South,Wholesale,500,121.11,,5,1
S0000198,2023-01-16,P00185,,online ,-10,121.11,,10,
S0000199,2022-10-31,P00066,North,Retail,20,121.11,1,10,
S0000200,2024-10-25,P00269,NORTH ,Retail,,121.11,0,,1
S0000201,2024-06-04,P00011,NORTH ,,100,121.11,1,,
S0000202,2024-06-09,P00011,north,online ,100,121.11,,5,1
S0000203,2024-05-29,P00178,north,,5,121.11,1,10,0
S0000204,2024-08-12,P00203,north,Wholesale,100,121.11,1,0,0
S0000205,2022-08-25,P00109,NORTH ,Retail,100,121.11,1,10,1
S0000206,2023-04-09,P00170,NORTH ,online ,0,121.11,1,0,
S0000207,2024-05-05,P00106,South,,500,121.11,,10,1
S0000208,2024-08-06,P00068,East,,500,121.11,,10,
S0000209,2022-11-30,P00074,North,,100,121.11,1,10,
S0000210,2024-10-29,P00281,South,Online,1,121.11,,10,1
S0000211,2024-12-02,P00038,East,Wholesale,20,121.11,0,10,0
S0000212,2023-11-11,P00291,,Wholesale,1,121.11,,0,1
S0000213,2023-11-14,P00244,NORTH ,online ,1,121.11,0,30,0
S0000214,2023-01-09,P00032,,Online,,121.11,,80,1
S0000215,2023-05-27,P00099,NORTH ,Online,100,121.11,0,10,0
S0000216,2024-04-28,P00239,north,Retail,-10,121.11,,5,
S0000217,2023-01-13,P00126,South,Online,5,121.11,1,,0
S0000218,2023-02-04,P00056,north,online ,1,121.11,1,10,
S0000219,2023-08-08,P00177,,,0,121.11,1,80,1
S0000220,2022-10-05,P00112,NORTH ,,-10,121.11,0,0,1
S0000221,2024-06-08,P00285,East,Retail,1,121.11,,80,1
S0000222,2024-11-29,P00274,South,Wholesale,0,121.11,0,,1
S0000223,2022-12-26,P00128,South,online ,500,121.11,1,0,
S0000224,2024-09-23,P00292,South,online ,5,121.11,0,80,1
S0000225,2022-03-08,P00116,South,Online,100,121.11,1,0,
S0000226,2023-05-10,P00010,north,Online,,121.11,,0,1
S0000227,2024-01-11,P00131,East,Wholesale,5,121.11,,10,
S0000228,2024-07-12,P00266,,Wholesale,100,121.11,,5,
S0000229,2024-06-05,P00285,East,online ,5,121.11,,30,0
S0000230,2022-09-22,P00071,north,online ,100,121.11,,10,
S0000231,2022-02-26,P00179,East,Online,,121.11,1,0,
S0000232,2022-01-18,P00182,North,,0,121.11,0,0,1
S0000233,2023-10-03,P00291,South,online ,5,121.11,0,,0
S0000234,2024-02-24,P00093,NORTH ,online ,-10,121.11,,10,
S0000235,2022-10-26,P00109,,online ,,121.11,0,30,1
S0000236,2022-12-30,P00034,East,,1,121.11,0,80,
S0000237,2024-01-16,P00108,,Retail,20,121.11,0,80,0
S0000238,2024-08-17,P00215,NORTH ,Retail,5,121.11,0,,
S0000239,2024-01-01,P00130,NORTH ,,0,121.11,0,80,1
S0000240,2022-03-01,P00158,NORTH ,Retail,500,121.11,0,0,0
S0000241,2023-05-18,P00299,NORTH ,Online,500,121.11,,5,0
S0000242,2023-10-07,P00118,NORTH ,Retail,100,121.11,1,5,
S0000243,2022-12-06,P00163,North,,,121.11,1,80,0
S0000244,2022-04-22,P00295,,online ,100,121.11,,,
S0000245,2023-06-04,P00287,South,Retail,500,121.11,0,0,0
S0000246,2022-01-31,P00184,North,,100,121.11,0,80,1
S0000247,2022-01-07,P00176,North,Retail,,121.11,,,0
S0000248,2023-04-25,P00046,NORTH ,,1,121.11,1,5,
S0000249,2023-12-14,P00024,NORTH ,Online,5,121.11,,80,1
S0000250,2023-07-07,P00230,,Wholesale,100,121.11,,0,
S0000251,2024-08-01,P00291,,Online,,121.11,,80,
S0000252,2023-04-26,P00009,East,Retail,0,121.11,1,5,
S0000253,2023-06-04,P00190,NORTH ,,5,121.11,0,80,1
S0000254,2022-12-04,P00137,NORTH ,Wholesale,,121.11,0,10,0
S0000255,2023-10-18,P00115,,online ,-10,121.11,,80,0
S0000256,2024-03-23,P00204,,Online,0,121.11,1,5,
S0000257,2024-12-14,P00181,North,online ,20,121.11,0,30,1
S0000258,2024-11-10,P00300,,Retail,5,121.11,1,10,
S0000259,2024-06-13,P00114,NORTH ,Wholesale,1,121.11,1,10,0
S0000260,2023-09-07,P00056,South,Retail,100,121.11,,80,0
S0000261,2024-02-06,P00181,,Wholesale,100,121.11,0,,1
S0000262,2024-07-20,P00022,NORTH ,Online,500,121.11,,10,
S0000263,2022-10-26,P00057,South,online ,5,121.11,,,1
S0000264,2024-03-14,P00254,NORTH ,online ,100,121.11,1,0,1
S0000265,2022-12-28,P00174,South,Retail,1,121.11,1,,1
S0000266,2024-08-08,P00138,South,Retail,20,121.11,,80,
S0000267,2023-12-02,P00171,South,Retail,0,121.11,0,80,1
S0000268,2023-07-11,P00167,,online ,20,121.11,0,,0
S0000269,2023-09-27,P00225,NORTH ,Wholesale,1,121.11,0,5,
S0000270,2022-12-02,P00075,NORTH ,,5,121.11,1,,0
S0000271,2023-11-17,P00096,,online ,20,121.11,0,0,
S0000272,2024-01-31,P00203,North,online ,500,121.11,0,10,1
S0000273,2022-09-07,P00133,South,,5,121.11,,0,0
S0000274,2022-07-11,P00023,north,Retail,1,121.11,1,,0
S0000275,2024-01-03,P00082,NORTH ,online ,0,121.11,1,80,
S0000276,2022-12-17,P00286,NORTH ,Wholesale,-10,121.11,1,5,0
S0000277,2022-03-03,P00050,north,,,121.11,,0,
S0000278,2024-06-01,P00042,East,online ,100,121.11,,80,
S0000279,2024-11-26,P00253,NORTH ,Wholesale,20,121.11,1,0,1
S0000280,2022-12-24,P00077,NORTH ,Retail,5,121.11,1,10,1
S0000281,2022-06-01,P00088,NORTH ,Retail,100,121.11,,0,
S0000282,2024-02-15,P00163,north,,,121.11,1,80,0
S0000283,2022-10-26,P00041,South,,0,121.11,0,0,
S0000284,2023-06-02,P00135,East,Wholesale,100,121.11,,,
S0000285,2023-08-06,P00150,South,online ,500,121.11,,10,
S0000286,2022-08-15,P00131,NORTH ,,100,121.11,0,80,
S0000287,2024-01-01,P00211,North,,,121.11,,,0
S0000288,2022-08-06,P00024,South,,100,121.11,0,5,0
S0000289,2023-03-03,P00265,,Retail,100,121.11,,10,0
S0000290,2023-01-11,P00253,North,online ,500,121.11,1,10,1
S0000291,2022-04-17,P00030,north,Wholesale,-10,121.11,0,5,1
S0000292,2023-08-26,P00155,South,Wholesale,1,121.11,,0,
S0000293,2024-04-06,P00045,North,,1,121.11,0,0,0
S0000294,2024-12-02,P00038,NORTH ,Retail,20,121.11,0,0,0
S0000295,2024-11-16,P00103,north,,1,121.11,,10,
S0000296,2023-02-13,P00244,NORTH ,Wholesale,0,121.11,0,30,
S0000297,2023-11-11,P00046,NORTH ,online ,0,121.11,1,30,1
S0000298,2022-07-05,P00141,north,Retail,-10,121.11,,10,0
S0000299,2023-05-08,P00083,East,Online,1,121.11,1,80,1
S0000300,2022-07-23,P00174,North,Online,100,121.11,,10,1
S0000301,2023-03-15,P00004,East,,-10,121.11,0,5,0
S0000302,2022-07-20,P00080,north,Online,20,121.11,,80,1
S0000303,2023-08-15,P00181,East,,500,121.11,0,80,1
S0000304,2024-11-28,P00018,,Retail,5,121.11,1,80,
S0000305,2023-07-27,P00124,,,500,121.11,1,30,
S0000306,2024-02-27,P00065,north,Retail,500,121.11,1,5,
S0000307,2024-01-14,P00096,North,,-10,121.11,,30,0
S0000308,2023-03-28,P00088,East,Wholesale,5,121.11,1,,
S0000309,2023-08-13,P00175,,Retail,0,121.11,,30,1
S0000310,2022-03-03,P00219,NORTH ,online ,100,121.11,0,0,1
S0000311,2024-12-25,P00234,South,Retail,1,121.11,1,30,
S0000312,2023-12-12,P00103,north,Retail,20,121.11,1,10,
S0000313,2023-01-10,P00131,NORTH ,Wholesale,-10,121.11,1,5,1
S0000314,2023-06-19,P00063,East,,,121.11,1,5,0
S0000315,2024-03-24,P00120,South,,-10,121.11,1,80,1
S0000316,2022-08-05,P00046,East,Online,-10,121.11,1,,0
S0000317,2022-06-18,P00019,north,online ,1,121.11,,0,1
S0000318,2022-06-03,P00173,north,,0,121.11,,0,
S0000319,2022-11-30,P00097,NORTH ,Online,500,121.11,1,80,
S0000320,2023-01-16,P00224,,Wholesale,,121.11,1,5,0
S0000321,2022-06-25,P00280,NORTH ,Online,1,121.11,,0,0
S0000322,2023-06-11,P00021,East,Retail,5,121.11,,,0
S0000323,2024-07-29,P00282,East,Online,-10,121.11,0,,0
S0000324,2024-11-16,P00196,North,Online,1,121.11,0,5,
S0000325,2022-01-26,P00072,,online ,100,121.11,1,30,0
S0000326,2022-03-16,P00300,,Retail,1,121.11,1,80,0
S0000327,2024-08-06,P00063,north,online ,20,121.11,0,,0
S0000328,2023-12-14,P00204,,online ,0,121.11,0,10,1
S0000329,2024-02-06,P00032,,Wholesale,-10,121.11,1,,1
S0000330,2024-07-27,P00017,North,Wholesale,500,121.11,0,80,
S0000331,2024-01-02,P00295,South,online ,-10,121.11,,30,
S0000332,2024-08-18,P00133,,Wholesale,500,121.11,0,10,
S0000333,2024-02-01,P00004,NORTH ,,5,121.11,1,5,1
S0000334,2024-01-04,P00252,North,Online,0,121.11,0,10,
S0000335,2024-03-26,P00053,,online ,,121.11,1,,1
S0000336,2022-08-06,P00124,North,Wholesale,500,121.11,1,,1
S0000337,2024-10-12,P00025,NORTH ,Online,,121.11,,0,
S0000338,2022-07-31,P00004,East,Retail,1,121.11,1,,1
S0000339,2024-08-30,P00071,NORTH ,,-10,121.11,1,30,
S0000340,2022-10-06,P00010,,Online,500,121.11,,30,
S0000341,2022-10-15,P00110,,Online,0,121.11,0,5,1
S0000342,2024-04-15,P00028,,Retail,5,121.11,0,0,1
S0000343,2023-10-25,P00270,,Wholesale,100,121.11,0,30,
S0000344,2022-10-22,P00208,North,online ,500,121.11,1,30,0
S0000345,2022-12-31,P00080,NORTH ,Retail,-10,121.11,1,30,1
S0000346,2024-03-10,P00069,North,Wholesale,0,121.11,1,10,1
S0000347,2022-06-14,P00300,East,Online,500,121.11,,5,
S0000348,2023-04-10,P00109,East,online ,0,121.11,1,10,
S0000349,2023-12-15,P00249,East,Wholesale,5,121.11,1,0,
S0000350,2022-02-14,P00141,South,online ,,121.11,1,10,1
S0000351,2024-11-06,P00169,NORTH ,online ,100,121.11,0,,1
S0000352,2023-08-12,P00214,,online ,-10,121.11,1,5,1
S0000353,2022-03-07,P00074,,Wholesale,20,121.11,,5,1
S0000354,2023-01-06,P00159,East,Wholesale,100,121.11,,80,
S0000355,2024-07-13,P00059,South,,500,121.11,0,0,1
S0000356,2022-06-23,P00115,,Wholesale,,121.11,0,10,1
S0000357,2023-01-03,P00037,,Wholesale,,121.11,,30,0
S0000358,2022-09-17,P00248,South,Retail,500,121.11,1,80,
S0000359,2024-11-12,P00149,North,online ,,121.11,0,30,0
S0000360,2024-06-29,P00103,East,online ,1,121.11,1,,
S0000361,2024-06-17,P00166,East,,-10,121.11,0,10,1
S0000362,2024-10-04,P00032,north,,5,121.11,,5,1
S0000363,2023-12-10,P00092,NORTH ,,20,121.11,,5,
S0000364,2024-06-28,P00005,South,Retail,5,121.11,0,30,1
S0000365,2022-12-12,P00277,north,Wholesale,-10,121.11,0,30,
S0000366,2023-03-23,P00250,,online ,,121.11,1,0,1
S0000367,2024-03-08,P00005,South,Wholesale,500,121.11,1,80,
S0000368,2023-05-02,P00103,South,Online,20,121.11,,,1
S0000369,2024-02-27,P00119,NORTH ,Retail,,121.11,,10,0
S0000370,2022-10-08,P00268,South,Online,100,121.11,0,5,
S0000371,2024-12-22,P00300,NORTH ,Wholesale,-10,121.11,0,30,
S0000372,2024-05-27,P00265,NORTH ,Online,1,121.11,0,80,
S0000373,2023-05-31,P00123,north,Online,1,121.11,1,5,
S0000374,2023-09-15,P00260,East,Retail,-10,121.11,0,10,1
S0000375,2024-07-01,P00287,North,Wholesale,-10,121.11,,30,
S0000376,2023-02-05,P00295,,Online,0,121.11,,80,0
S0000377,2024-08-21,P00200,North,online ,20,121.11,0,5,0
S0000378,2024-11-23,P00210,NORTH ,Online,0,121.11,,80,
S0000379,2024-10-25,P00293,East,online ,20,121.11,,10,1
S0000380,2023-12-23,P00083,NORTH ,,1,121.11,0,5,0
S0000381,2024-07-30,P00010,north,online ,,121.11,0,,0
S0000382,2023-05-07,P00211,North,online ,1,121.11,0,0,0
S0000383,2023-10-13,P00032,South,Retail,0,121.11,0,5,0
S0000384,2023-10-20,P00192,NORTH ,,-10,121.11,0,0,
S0000385,2022-11-06,P00298,north,Retail,0,121.11,,5,
S0000386,2022-12-30,P00015,South,Wholesale,0,121.11,1,10,1
S0000387,2024-09-08,P00198,,Wholesale,100,121.11,0,10,1
S0000388,2023-07-11,P00141,East,Online,0,121.11,1,,1
S0000389,2024-12-24,P00075,South,Retail,1,121.11,,80,0
S0000390,2024-10-26,P00029,South,,20,121.11,0,,
S0000391,2023-11-13,P00198,North,Wholesale,,121.11,1,,1
S0000392,2023-10-10,P00165,North,Online,0,121.11,0,80,
S0000393,2023-08-20,P00098,NORTH ,,-10,121.11,1,5,1
S0000394,2023-11-12,P00096,South,online ,500,121.11,1,10,0
S0000395,2024-08-04,P00114,NORTH ,Online,1,121.11,1,10,0
S0000396,2024-10-26,P00019,North,Wholesale,-10,121.11,0,,0
S0000397,2023-01-12,P00246,NORTH ,Retail,-10,121.11,,80,0
S0000398,2023-11-02,P00209,NORTH ,Retail,100,121.11,1,,
S0000399,2024-10-09,P00022,South,,100,121.11,0,30,
S0000400,2022-03-11,P00093,NORTH ,Wholesale,-10,121.11,,5,
S0000401,2024-10-27,P00068,,Online,20,121.11,0,0,
S0000402,2024-12-04,P00135,South,online ,-10,121.11,0,0,1
S0000403,2022-12-18,P00062,South,,-10,121.11,1,5,
S0000404,2023-09-12,P00084,North,online ,1,121.11,0,,
S0000405,2024-09-15,P00131,NORTH ,,500,121.11,1,80,0
S0000406,2022-12-18,P00129,north,Online,-10,121.11,,0,1
S0000407,2023-10-27,P00092,NORTH ,Retail,20,121.11,1,80,0
S0000408,2023-01-01,P00273,NORTH ,,20,121.11,,0,
S0000409,2024-06-20,P00101,north,Online,1,121.11,0,30,
S0000410,2024-07-22,P00210,north,Wholesale,,121.11,1,30,1
S0000411,2022-08-24,P00007,South,,20,121.11,0,,0
S0000412,2024-02-03,P00114,,,5,121.11,0,0,0
S0000413,2023-08-09,P00265,East,Online,1,121.11,1,5,0
S0000414,2024-07-18,P00288,NORTH ,Online,500,121.11,0,5,
S0000415,2024-08-22,P00276,North,Online,0,121.11,1,0,
S0000416,2024-07-01,P00290,North,online ,5,121.11,0,80,
S0000417,2024-02-07,P00216,East,,20,121.11,1,5,
