shipment_id,source_warehouse,destination_region,carrier,dispatch_date,expected_delivery_days,actual_delivery_days,delay_flag,logistics_cost
SHIP0000184,WH02,SOUTH,DHL,2024-08-06,2,25,1,15000
SHIP0000185,,SOUTH,FedEx,2022-09-15,5,3,,15000
SHIP0000186,,,Delhivery,2024-10-29,7,1,,
SHIP0000187,WH02,,Delhivery,2022-04-13,,3,,2000
SHIP0000188,WH02,North,,2023-12-11,7,1,0,500
SHIP0000189,wh-02,north ,Delhivery,2023-08-29,7,,0,15000
SHIP0000190,WH01,North,FedEx,2022-03-22,,1,,
SHIP0000191,,north ,FedEx,2022-10-31,7,,1,
SHIP0000192,WH01,,,2024-07-14,7,25,1,-100
SHIP0000193,wh-02,north ,DHL,2022-03-20,,,,2000
SHIP0000194,WH02,North,FedEx,2023-10-09,2,25,,
SHIP0000195,wh-02,SOUTH,Delhivery,2022-11-07,5,,,
SHIP0000196,WH01,North,FedEx,2024-01-28,7,10,,-100
SHIP0000197,wh-02,SOUTH,DHL,2024-07-04,7,1,1,500
SHIP0000198,WH01,north ,DHL,2022-11-05,,25,,500
SHIP0000199,WH01,north ,FedEx,2024-05-16,7,25,1,15000
SHIP0000200,WH02,North,FedEx,2023-08-20,5,1,1,2000
SHIP0000201,wh-02,SOUTH,BlueDart,2024-05-10,,25,,15000
SHIP0000202,,north ,FedEx,2022-07-16,7,25,,
SHIP0000203,WH01,north ,BlueDart,2023-05-31,5,10,0,15000
SHIP0000204,wh-02,north ,FedEx,2024-08-01,2,,,-100
SHIP0000205,,north ,Delhivery,2023-02-15,,3,1,2000
SHIP0000206,WH02,North,DHL,2023-09-17,2,25,0,15000
SHIP0000207,wh-02,SOUTH,,2024-12-27,7,1,,-100
SHIP0000208,WH02,north ,BlueDart,2023-11-26,5,,0,2000
SHIP0000209,WH02,North,,2024-10-05,5,25,,
SHIP0000210,wh-02,north ,Delhivery,2023-08-17,7,25,,-100
SHIP0000211,wh-02,north ,FedEx,2022-04-05,,,,-100
SHIP0000212,WH01,SOUTH,FedEx,2024-01-08,5,1,1,15000
SHIP0000213,WH02,SOUTH,Delhivery,2024-06-07,7,3,0,500
SHIP0000214,wh-02,,Delhivery,2023-10-21,5,25,1,500
SHIP0000215,WH02,North,Delhivery,2024-04-17,7,25,,500
SHIP0000216,wh-02,North,,2022-03-24,,10,0,-100
SHIP0000217,,SOUTH,DHL,2024-12-06,2,,1,15000
SHIP0000218,WH01,SOUTH,BlueDart,2023-07-05,2,25,0,-100
SHIP0000219,wh-02,,,2023-01-14,,1,,-100
SHIP0000220,WH01,SOUTH,DHL,2023-08-26,5,10,1,
SHIP0000221,,,DHL,2023-02-07,,25,,-100
SHIP0000222,,North,,2024-01-26,,25,0,500
SHIP0000223,WH02,north ,BlueDart,2024-06-20,7,25,1,2000
SHIP0000224,,SOUTH,FedEx,2023-10-23,,,,500
SHIP0000225,wh-02,SOUTH,,2023-06-16,,1,,2000
SHIP0000226,wh-02,north ,DHL,2023-09-29,5,25,1,500
SHIP0000227,,,DHL,2023-05-10,,25,,2000
SHIP0000228,,,Delhivery,2024-10-21,,1,,
SHIP0000229,WH01,SOUTH,Delhivery,2024-01-19,5,,,
SHIP0000230,WH02,north ,,2024-01-15,7,1,,500
SHIP0000231,wh-02,north ,FedEx,2024-12-18,,,1,15000
SHIP0000232,,North,,2022-11-11,,10,,-100
SHIP0000233,WH02,SOUTH,Delhivery,2023-01-14,,10,1,500
SHIP0000234,WH02,north ,BlueDart,2023-12-05,7,10,0,15000
SHIP0000235,wh-02,,FedEx,2024-10-18,2,,1,500
SHIP0000236,,north ,,2022-12-20,,25,1,500
SHIP0000237,,north ,BlueDart,2022-07-08,2,1,0,2000
SHIP0000238,WH01,north ,,2023-11-18,5,3,0,15000
SHIP0000239,WH01,north ,,2023-04-02,5,1,,
SHIP0000240,WH02,SOUTH,Delhivery,2023-09-25,2,1,0,-100
SHIP0000241,wh-02,SOUTH,FedEx,2022-05-23,7,,0,15000
SHIP0000242,WH02,,Delhivery,2024-06-24,5,1,,500
SHIP0000243,WH01,North,FedEx,2024-08-11,7,25,1,2000
SHIP0000244,wh-02,north ,FedEx,2022-10-29,7,10,,2000
SHIP0000245,wh-02,,FedEx,2023-03-21,,25,,15000
SHIP0000246,WH01,north ,Delhivery,2023-11-16,5,10,,-100
SHIP0000247,WH01,North,BlueDart,2023-03-24,5,10,,
SHIP0000248,wh-02,,FedEx,2023-10-14,5,10,0,2000
SHIP0000249,,,FedEx,2022-11-03,,25,1,-100
SHIP0000250,WH02,north ,BlueDart,2022-09-17,7,25,0,2000
SHIP0000251,WH02,North,,2024-01-23,2,1,,
SHIP0000252,WH01,North,,2022-01-16,,,0,500
SHIP0000253,,,Delhivery,2024-06-12,5,10,0,500
SHIP0000254,WH02,SOUTH,Delhivery,2022-03-19,,,0,
SHIP0000255,WH01,north ,,2023-09-17,,,,500
SHIP0000256,,north ,BlueDart,2023-01-07,,25,,2000
SHIP0000257,wh-02,North,Delhivery,2024-11-04,2,1,,15000
SHIP0000258,WH02,north ,DHL,2022-05-03,2,3,1,2000
SHIP0000259,WH01,north ,,2022-03-18,,25,0,
SHIP0000260,wh-02,SOUTH,DHL,2022-06-02,2,10,0,
SHIP0000261,WH01,north ,FedEx,2022-03-10,2,3,1,-100
SHIP0000262,wh-02,North,Delhivery,2023-08-31,7,,0,-100
SHIP0000263,wh-02,SOUTH,,2024-07-01,5,,0,500
SHIP0000264,wh-02,North,Delhivery,2024-07-14,2,3,,2000
SHIP0000265,WH02,,BlueDart,2023-01-29,,3,,-100
SHIP0000266,WH01,SOUTH,Delhivery,2023-08-15,7,1,1,2000
SHIP0000267,wh-02,north ,BlueDart,2024-09-17,,3,,
SHIP0000268,WH01,,,2022-07-05,5,10,1,2000
SHIP0000269,wh-02,SOUTH,FedEx,2022-04-04,2,3,1,
SHIP0000270,WH01,SOUTH,,2023-02-24,2,10,,2000
SHIP0000271,,SOUTH,DHL,2023-05-04,7,1,1,2000
SHIP0000272,WH02,north ,,2023-04-08,5,3,,15000
SHIP0000273,WH02,SOUTH,BlueDart,2024-11-10,5,,1,500
SHIP0000274,wh-02,SOUTH,,2023-12-20,,10,,2000
SHIP0000275,WH01,north ,BlueDart,2022-11-23,5,3,0,500
SHIP0000276,WH01,,BlueDart,2022-11-08,7,,,500
SHIP0000277,WH02,SOUTH,FedEx,2022-08-25,2,,1,
SHIP0000278,,,Delhivery,2024-06-10,7,3,0,-100
SHIP0000279,wh-02,,,2023-03-17,7,10,0,15000
SHIP0000280,,North,,2024-04-11,2,10,0,
SHIP0000281,WH02,,Delhivery,2023-11-06,,,0,2000
SHIP0000282,WH02,north ,BlueDart,2023-03-06,5,1,,-100
SHIP0000283,WH02,SOUTH,DHL,2023-11-14,,25,1,-100
SHIP0000284,WH02,north ,BlueDart,2022-01-11,7,3,1,2000
SHIP0000285,WH02,North,BlueDart,2024-11-16,5,1,1,-100
SHIP0000286,,north ,Delhivery,2023-03-28,7,3,0,2000
SHIP0000287,WH02,North,Delhivery,2023-08-13,,,1,2000
SHIP0000288,wh-02,north ,FedEx,2022-07-30,2,,,
SHIP0000289,WH01,SOUTH,,2024-01-21,2,25,,2000
SHIP0000290,wh-02,SOUTH,BlueDart,2024-09-13,7,10,,
SHIP0000291,wh-02,north ,BlueDart,2023-06-04,5,1,,-100
SHIP0000292,wh-02,SOUTH,Delhivery,2023-10-08,2,1,0,-100
SHIP0000293,wh-02,North,Delhivery,2022-10-28,5,10,0,500
SHIP0000294,WH01,SOUTH,BlueDart,2023-12-02,,25,0,15000
SHIP0000295,,SOUTH,BlueDart,2024-01-04,,25,0,2000
SHIP0000296,wh-02,north ,BlueDart,2024-07-30,7,25,,2000
SHIP0000297,WH01,,BlueDart,2022-09-22,5,1,0,2000
SHIP0000298,wh-02,north ,FedEx,2022-03-30,7,3,0,15000
SHIP0000299,WH01,north ,FedEx,2024-12-21,2,1,0,
SHIP0000300,,North,Delhivery,2024-12-31,7,1,0,-100
SHIP0000301,WH02,north ,FedEx,2022-10-03,7,3,1,-100
SHIP0000302,,North,Delhivery,2022-04-12,7,10,0,-100
SHIP0000303,WH02,SOUTH,BlueDart,2022-04-04,,25,1,
SHIP0000304,WH01,north ,DHL,2024-03-31,2,10,1,
SHIP0000305,WH02,,BlueDart,2023-08-26,5,25,0,500
SHIP0000306,wh-02,SOUTH,,2023-07-18,7,,0,15000
SHIP0000307,WH01,SOUTH,DHL,2024-11-25,5,1,1,15000
SHIP0000308,WH02,north ,BlueDart,2022-05-01,7,,,2000
SHIP0000309,WH01,north ,,2024-05-15,2,1,0,500
SHIP0000310,wh-02,north ,,2023-11-03,7,10,0,15000
SHIP0000311,WH02,north ,FedEx,2022-09-28,2,3,,2000
SHIP0000312,,SOUTH,,2024-08-12,2,25,,
SHIP0000313,WH01,,DHL,2023-12-08,,,1,2000
SHIP0000314,,north ,BlueDart,2022-08-14,,10,1,500
SHIP0000315,WH02,SOUTH,Delhivery,2023-12-24,2,10,,2000
SHIP0000316,,north ,,2022-08-26,2,10,,500
SHIP0000317,,North,DHL,2023-06-12,5,25,,2000
SHIP0000318,wh-02,,DHL,2024-11-13,7,3,,15000
SHIP0000319,wh-02,SOUTH,BlueDart,2024-04-20,2,1,1,500
SHIP0000320,WH02,,,2023-10-18,7,,1,2000
SHIP0000321,wh-02,,BlueDart,2024-12-11,,25,1,2000
SHIP0000322,,north ,FedEx,2022-03-12,7,10,,
SHIP0000323,wh-02,,BlueDart,2024-02-24,2,3,0,
SHIP0000324,WH01,,FedEx,2023-07-03,2,,0,500
SHIP0000325,WH01,SOUTH,FedEx,2023-07-20,2,25,0,-100
SHIP0000326,wh-02,SOUTH,Delhivery,2023-07-24,2,,,15000
SHIP0000327,WH01,,BlueDart,2023-03-13,,10,,-100
SHIP0000328,,North,,2022-07-08,,1,0,-100
SHIP0000329,WH01,,,2022-01-28,7,1,1,500
SHIP0000330,WH01,north ,Delhivery,2022-07-06,7,,1,500
SHIP0000331,WH02,SOUTH,BlueDart,2023-03-21,7,3,0,15000
SHIP0000332,WH02,,,2024-09-07,2,3,,-100
SHIP0000333,WH01,north ,BlueDart,2024-11-11,,10,0,500
SHIP0000334,,north ,DHL,2023-02-10,5,25,,500
SHIP0000335,WH01,north ,FedEx,2023-02-20,7,25,,500
SHIP0000336,WH02,SOUTH,DHL,2022-11-23,,3,,
SHIP0000337,,North,FedEx,2023-05-31,7,,0,15000
SHIP0000338,WH02,North,BlueDart,2023-07-15,7,10,0,15000
SHIP0000339,WH01,north ,Delhivery,2023-03-19,5,,1,
SHIP0000340,WH02,SOUTH,,2024-03-18,,25,0,15000
SHIP0000341,WH01,SOUTH,Delhivery,2023-01-11,7,10,1,500
SHIP0000342,,North,Delhivery,2023-08-09,,1,0,500
SHIP0000343,WH01,North,BlueDart,2022-09-08,2,,0,15000
SHIP0000344,WH02,,Delhivery,2022-09-28,2,10,1,15000
SHIP0000345,WH01,north ,DHL,2024-09-05,,3,,2000
SHIP0000346,WH01,SOUTH,,2023-01-05,5,,1,500
SHIP0000347,wh-02,North,FedEx,2022-08-26,2,10,,2000
SHIP0000348,,SOUTH,,2024-01-16,7,1,,-100
SHIP0000349,WH01,North,Delhivery,2022-08-17,,3,1,
SHIP0000350,,North,Delhivery,2023-02-14,7,1,1,-100
SHIP0000351,WH02,North,BlueDart,2023-02-28,,1,1,2000
SHIP0000352,WH01,North,DHL,2022-12-02,2,10,,-100
SHIP0000353,WH01,,DHL,2023-01-17,7,25,1,
SHIP0000354,WH01,SOUTH,FedEx,2024-12-17,2,1,1,2000
SHIP0000355,,SOUTH,,2024-09-24,5,1,0,500
SHIP0000356,,SOUTH,DHL,2023-03-28,5,,,2000
SHIP0000357,wh-02,,,2024-06-16,,10,0,
SHIP0000358,,north ,DHL,2022-02-09,,1,0,-100
SHIP0000359,WH02,north ,FedEx,2022-06-30,,25,,2000
SHIP0000360,,north ,FedEx,2024-12-11,7,25,0,-100
SHIP0000361,WH02,,BlueDart,2022-11-05,5,,0,500
SHIP0000362,WH01,,,2023-05-05,2,3,0,500
SHIP0000363,,,BlueDart,2023-02-06,7,10,0,
SHIP0000364,WH01,,Delhivery,2023-02-25,2,3,1,-100
SHIP0000365,wh-02,,BlueDart,2022-06-11,7,,1,-100
SHIP0000366,WH02,North,BlueDart,2024-04-02,5,25,,500
SHIP0000367,WH01,,Delhivery,2022-01-05,,3,,500
SHIP0000368,,North,,2023-09-19,,3,,
SHIP0000369,WH01,North,BlueDart,2022-02-01,7,25,1,15000
SHIP0000370,WH01,SOUTH,,2024-03-17,2,1,0,-100
SHIP0000371,,,BlueDart,2024-11-27,,3,1,
SHIP0000372,WH01,North,,2023-12-17,7,,,500
SHIP0000373,,north ,BlueDart,2023-08-18,,25,1,-100
SHIP0000374,wh-02,,DHL,2024-01-10,5,3,,-100
SHIP0000375,WH02,SOUTH,DHL,2022-09-28,2,3,,15000
SHIP0000376,wh-02,North,,2022-08-24,5,3,,
SHIP0000377,wh-02,North,BlueDart,2022-12-13,,1,1,500
SHIP0000378,,SOUTH,FedEx,2023-11-28,5,1,1,-100
SHIP0000379,,north ,,2023-01-20,5,1,0,15000
SHIP0000380,WH01,north ,Delhivery,2022-09-18,7,3,,15000
SHIP0000381,,,Delhivery,2023-12-17,,3,0,500
SHIP0000382,WH01,north ,FedEx,2024-12-22,7,25,0,500
SHIP0000383,,North,DHL,2022-08-25,7,10,1,-100
SHIP0000384,,,,2024-12-26,5,1,1,500
SHIP0000385,WH01,north ,DHL,2023-12-15,7,25,,
SHIP0000386,,,BlueDart,2024-10-31,2,25,,2000
SHIP0000387,wh-02,north ,,2024-03-20,7,10,1,500
SHIP0000388,WH01,North,DHL,2024-07-13,2,1,1,2000
SHIP0000389,WH02,,DHL,2024-07-08,7,1,0,2000
SHIP0000390,,north ,FedEx,2024-05-11,2,1,1,500
SHIP0000391,,North,FedEx,2024-07-10,7,25,,15000
SHIP0000392,WH01,north ,DHL,2024-12-02,7,25,1,
SHIP0000393,WH01,,FedEx,2022-06-25,2,10,,-100
SHIP0000394,WH02,north ,,2022-05-07,,25,1,-100
SHIP0000395,WH01,,,2023-07-24,,,1,-100
SHIP0000396,wh-02,,Delhivery,2023-10-08,2,25,,2000
SHIP0000397,WH01,SOUTH,BlueDart,2024-08-26,5,1,,
SHIP0000398,,north ,BlueDart,2024-12-23,,10,0,15000
SHIP0000399,WH01,North,BlueDart,2022-10-03,2,25,0,-100
SHIP0000400,,,,2024-08-24,5,1,1,
SHIP0000401,,SOUTH,Delhivery,2023-05-03,5,3,,-100
SHIP0000402,wh-02,North,FedEx,2023-10-20,,25,1,
SHIP0000403,WH02,SOUTH,DHL,2024-06-23,7,3,1,
SHIP0000404,WH02,north ,BlueDart,2023-12-12,7,25,1,-100
SHIP0000405,WH02,North,,2022-02-26,2,3,1,-100
SHIP0000406,WH01,North,Delhivery,2022-09-29,,3,,2000
SHIP0000407,WH02,north ,FedEx,2023-09-18,,,1,
SHIP0000408,,SOUTH,DHL,2024-10-17,5,3,1,15000
SHIP0000409,wh-02,north ,BlueDart,2024-06-27,2,1,,15000
SHIP0000410,,north ,Delhivery,2022-04-24,,1,,
SHIP0000411,,SOUTH,DHL,2023-01-07,,10,1,-100
SHIP0000412,WH02,,Delhivery,2023-08-17,2,10,0,-100
