inventory_id,product_id,warehouse_id,on_hand_qty,reserved_qty,reorder_point,last_restock_date
I000062,P00113,wh-01,0,,100,2024-09-21
I000063,P00077,WH03,-100,,,2024-12-14
I000064,P00074,,1000,100,500,2021-07-24
I000065,P00134,WH03,,10,100,2022-11-21
I000066,P00070,WH01,1000,0,,2022-09-15
I000067,P00051,WH02,,10,100,2022-07-18
I000068,P00295,wh-01,,100,,2024-09-10
I000069,P00076,WH01,200,0,300,2023-12-23
I000070,P00160,WH02,99999,,100,2021-07-03
I000071,P00270,,50,10,500,2024-08-24
I000072,P00274,,-100,,500,2023-12-06
I000073,P00020,WH01,1000,100,100,2024-07-27
I000074,P00113,WH01,50,100,,2022-03-01
I000075,P00170,,0,10,300,2021-05-16
I000076,P00253,,99999,,300,2023-09-08
I000077,P00132,WH03,50,100,500,2024-03-23
I000078,P00112,WH02,,100,300,2024-06-02
I000079,P00178,WH01,-100,,500,2024-11-18
I000080,P00086,WH02,-100,,300,2023-03-03
I000081,P00109,WH03,,100,500,2021-06-11
I000082,P00234,,99999,10,300,2023-05-05
I000083,P00107,WH01,,10,300,2021-03-24
I000084,P00186,WH03,1000,10,300,2022-07-06
I000085,P00075,WH02,-100,10,100,2021-02-06
I000086,P00036,WH02,99999,0,500,2021-06-10
I000087,P00175,WH03,0,100,100,2022-06-08
I000088,P00258,WH03,50,0,500,2022-04-29
I000089,P00067,WH01,1000,0,300,2024-06-06
I000090,P00166,WH02,0,10,100,2023-09-04
I000091,P00252,,50,0,500,2023-03-18
I000092,P00004,WH01,1000,10,100,2021-02-19
I000093,P00276,WH02,-100,100,,2024-03-31
I000094,P00297,WH03,0,,100,2021-06-10
I000095,P00209,WH02,200,100,100,2023-05-06
I000096,P00212,WH02,,10,100,2023-07-12
I000097,P00284,WH01,50,100,500,2022-08-23
I000098,P00245,WH02,50,,500,2021-07-02
I000099,P00081,WH02,99999,100,500,2024-06-23
I000100,P00169,WH01,50,10,500,2022-12-15
I000101,P00155,WH03,,,,2023-09-20
I000102,P00064,WH02,1000,10,500,2023-07-27
I000103,P00014,WH03,99999,0,100,2023-07-07
I000104,P00280,wh-01,1000,100,300,2023-07-21
I000105,P00251,wh-01,50,10,100,2021-03-06
I000106,P00148,WH02,-100,10,500,2022-06-06
I000107,P00285,,50,10,,2024-06-21
I000108,P00143,WH03,,10,,2021-03-01
I000109,P00284,wh-01,200,10,,2021-11-09
I000110,P00261,,99999,0,,2021-09-12
I000111,P00273,WH02,200,100,,2024-06-18
I000112,P00097,WH02,200,10,300,2024-11-18
I000113,P00025,WH01,200,100,500,2021-05-14
I000114,P00081,wh-01,99999,100,100,2023-08-06
I000115,P00007,wh-01,99999,100,100,2021-11-05
I000116,P00141,wh-01,,0,,2023-07-01
I000117,P00189,WH01,,100,300,2022-11-16
I000118,P00156,WH01,99999,0,300,2023-04-23
I000119,P00111,WH01,-100,100,300,2021-09-19
I000120,P00037,,99999,100,500,2024-06-10
I000121,P00258,wh-01,,,100,2022-02-18
I000122,P00247,WH02,1000,10,300,2022-12-08
I000123,P00129,WH01,50,0,100,2022-03-03
I000124,P00199,WH03,200,0,,2021-11-04
I000125,P00179,WH03,0,10,100,2022-08-07
I000126,P00286,wh-01,50,,,2024-09-10
I000127,P00032,WH02,0,10,500,2023-02-17
I000128,P00077,WH03,0,,100,2021-03-05
I000129,P00172,WH03,1000,10,300,2023-01-04
I000130,P00120,wh-01,99999,0,100,2021-07-23
I000131,P00001,wh-01,200,10,300,2021-12-15
I000132,P00150,WH02,99999,100,100,2023-09-14
I000133,P00138,,0,100,100,2022-12-29
I000134,P00217,WH02,1000,0,500,2024-12-02
I000135,P00191,wh-01,200,10,500,2021-01-20
I000136,P00010,wh-01,-100,10,300,2022-05-27
I000137,P00258,WH01,,100,500,2024-11-01
I000138,P00217,,,100,,2024-06-04
I000139,P00078,WH02,-100,100,,2024-02-19
I000140,P00020,wh-01,99999,100,100,2021-07-08
I000141,P00164,WH01,99999,100,300,2022-10-03
I000142,P00282,wh-01,0,10,,2024-03-07
I000143,P00258,WH03,99999,100,,2024-06-26
I000144,P00284,WH02,0,100,300,2022-07-03
I000145,P00020,WH01,0,10,,2024-04-12
I000146,P00184,WH01,50,10,100,2021-06-18
I000147,P00047,WH01,0,,100,2024-02-15
I000148,P00204,wh-01,50,100,500,2024-04-07
I000149,P00248,wh-01,1000,10,500,2024-01-01
I000150,P00155,WH02,50,,300,2024-03-26
I000151,P00113,,50,10,300,2021-03-22
I000152,P00190,WH02,99999,100,100,2022-07-28
I000153,P00285,wh-01,,10,300,2023-11-26
I000154,P00064,WH02,1000,,300,2022-05-10
I000155,P00170,WH02,50,,100,2023-07-08
I000156,P00208,,200,10,500,2021-08-15
I000157,P00166,WH03,,100,100,2023-01-23
I000158,P00139,wh-01,200,10,500,2023-09-11
I000159,P00039,WH02,50,100,,2023-07-27
I000160,P00105,WH03,-100,,100,2024-02-04
I000161,P00040,WH03,0,0,,2022-09-19
I000162,P00215,WH02,1000,100,500,2022-03-23
I000163,P00160,WH03,0,100,100,2021-04-08
I000164,P00118,WH03,200,10,500,2021-06-17
I000165,P00028,wh-01,1000,0,100,2022-10-24
I000166,P00266,wh-01,0,10,100,2022-12-14
I000167,P00047,,0,0,500,2024-06-13
I000168,P00022,WH01,50,,500,2023-08-18
I000169,P00265,,200,100,100,2022-11-10
I000170,P00171,WH02,-100,10,300,2024-07-23
I000171,P00205,WH02,-100,100,,2023-07-12
I000172,P00262,WH03,0,100,100,2022-12-26
I000173,P00075,,99999,,100,2023-02-07
I000174,P00020,wh-01,200,10,500,2023-08-26
I000175,P00054,WH02,0,,500,2022-06-05
I000176,P00231,,-100,0,,2022-05-21
I000177,P00274,WH01,,0,500,2022-08-11
I000178,P00162,,200,,100,2021-07-23
I000179,P00268,wh-01,50,0,,2021-01-21
I000180,P00142,WH03,200,,100,2021-09-04
I000181,P00042,WH03,50,10,,2024-02-27
I000182,P00211,WH01,0,100,,2023-11-30
I000183,P00300,wh-01,1000,10,300,2022-09-27
I000184,P00128,WH02,-100,100,500,2023-01-09
I000185,P00278,WH03,1000,,300,2022-12-13
I000186,P00080,wh-01,99999,10,500,2022-01-08
I000187,P00024,WH01,200,0,500,2021-11-16
I000188,P00061,wh-01,-100,10,100,2022-12-29
I000189,P00194,wh-01,99999,0,300,2022-03-12
I000190,P00087,WH02,,0,500,2022-02-24
I000191,P00096,WH03,-100,,300,2021-04-15
I000192,P00063,wh-01,,0,500,2024-05-11
I000193,P00269,wh-01,99999,10,,2021-01-09
I000194,P00040,,99999,,,2021-04-28
I000195,P00244,WH03,200,10,,2024-05-09
I000196,P00297,WH01,,10,100,2022-12-09
I000197,P00217,WH02,99999,0,100,2021-04-28
I000198,P00175,WH01,99999,100,500,2023-01-23
I000199,P00115,,99999,,100,2021-07-29
I000200,P00049,,,0,,2022-07-22
I000201,P00249,,,100,500,2022-03-24
I000202,P00142,WH01,50,0,500,2023-11-14
I000203,P00174,WH02,1000,0,100,2021-04-02
I000204,P00136,WH02,0,100,100,2023-03-28
I000205,P00144,wh-01,0,10,,2023-12-16
I000206,P00143,WH01,0,100,,2024-04-03
I000207,P00186,wh-01,99999,100,500,2024-06-04
I000208,P00250,,200,,100,2021-01-14
I000209,P00031,WH03,50,0,300,2021-03-27
I000210,P00144,WH01,,100,500,2021-05-25
I000211,P00221,,,0,500,2023-04-25
I000212,P00101,,,10,100,2021-11-25
I000213,P00121,wh-01,99999,100,300,2023-01-15
I000214,P00254,wh-01,99999,10,300,2021-10-26
I000215,P00259,,50,0,,2021-08-14
I000216,P00115,WH03,,10,,2024-04-12
I000217,P00269,,-100,,,2021-11-27
I000218,P00088,WH03,99999,0,500,2021-01-28
I000219,P00018,WH02,99999,10,100,2024-09-04
I000220,P00035,,1000,10,,2024-03-19
I000221,P00015,WH01,200,100,500,2023-10-19
I000222,P00073,WH01,50,0,,2022-03-20
I000223,P00018,WH02,200,,300,2022-11-05
I000224,P00009,WH02,200,,500,2021-06-18
I000225,P00283,,-100,,,2023-09-06
I000226,P00016,WH02,,10,100,2023-01-27
I000227,P00171,WH03,1000,0,100,2022-03-21
I000228,P00029,WH01,,,500,2023-12-20
I000229,P00257,WH01,,,300,2022-04-04
I000230,P00286,,99999,,100,2023-10-05
I000231,P00038,WH03,50,100,300,2024-11-06
I000232,P00016,WH02,,100,300,2023-05-10
I000233,P00014,WH03,99999,10,,2024-02-25
I000234,P00050,,,10,,2022-07-26
I000235,P00267,wh-01,-100,0,100,2024-03-21
I000236,P00199,WH01,200,,,2021-07-04
I000237,P00146,WH03,50,100,100,2021-10-15
I000238,P00121,wh-01,50,,100,2022-11-20
I000239,P00066,WH01,0,10,100,2023-05-07
I000240,P00073,wh-01,,100,300,2024-11-09
I000241,P00088,WH03,99999,100,300,2023-05-17
I000242,P00113,WH02,99999,,100,2024-08-02
I000243,P00237,WH01,0,10,500,2024-06-28
I000244,P00139,,-100,,,2022-05-26
I000245,P00157,WH01,-100,10,100,2021-02-10
I000246,P00018,wh-01,200,10,500,2022-10-01
I000247,P00184,WH01,,10,500,2023-05-22
I000248,P00073,,-100,,500,2022-02-23
I000249,P00158,WH01,200,10,500,2022-06-17
I000250,P00037,wh-01,0,0,,2021-07-14
I000251,P00041,wh-01,1000,0,100,2022-04-23
I000252,P00260,WH02,200,0,,2022-08-24
I000253,P00002,WH03,99999,100,,2024-01-07
I000254,P00073,wh-01,,10,500,2022-09-21
I000255,P00117,WH03,1000,,,2023-07-21
I000256,P00156,,-100,,300,2024-06-11
I000257,P00114,wh-01,0,,300,2023-01-31
I000258,P00088,WH03,200,100,500,2022-09-03
I000259,P00163,WH03,-100,,500,2023-04-19
I000260,P00114,wh-01,200,,300,2023-12-31
I000261,P00009,WH02,,,300,2022-12-12
I000262,P00199,WH03,1000,10,300,2022-12-07
I000263,P00199,WH01,,,300,2022-02-18
I000264,P00027,,50,0,,2024-10-22
I000265,P00195,wh-01,200,,500,2024-08-07
I000266,P00099,WH03,99999,,500,2023-10-12
I000267,P00069,WH03,0,,100,2022-08-03
I000268,P00181,wh-01,99999,100,500,2021-03-19
I000269,P00037,WH02,1000,0,500,2023-07-27
I000270,P00177,WH02,1000,10,500,2023-02-16
I000271,P00141,WH03,50,100,500,2021-03-04
I000272,P00204,WH03,0,10,,2021-12-08
I000273,P00037,wh-01,0,0,,2021-01-27
I000274,P00234,,1000,0,300,2023-09-04
I000275,P00062,,-100,10,100,2022-10-02
I000276,P00005,WH03,-100,10,500,2022-04-06
I000277,P00071,,99999,10,,2023-04-21
I000278,P00281,WH03,1000,,300,2022-10-31
I000279,P00106,WH03,-100,0,,2021-10-26
I000280,P00246,WH02,0,100,100,2021-06-07
I000281,P00223,WH03,1000,10,500,2021-04-13
I000282,P00148,WH01,,,500,2024-05-10
I000283,P00127,WH03,-100,100,100,2022-09-19
I000284,P00172,WH03,,,,2023-03-29
I000285,P00286,WH03,,10,,2023-03-07
I000286,P00169,,50,100,500,2024-05-15
I000287,P00232,WH02,0,100,,2022-07-13
I000288,P00231,,0,10,500,2024-06-20
I000289,P00281,WH02,-100,100,,2024-12-02
I000290,P00145,WH01,-100,,300,2022-02-14
I000291,P00131,WH03,,100,,2024-10-08
I000292,P00072,WH02,1000,100,,2023-06-03
I000293,P00145,WH03,-100,0,,2021-01-19
I000294,P00212,WH02,,100,300,2024-01-31
I000295,P00236,wh-01,,0,300,2021-10-19
I000296,P00271,wh-01,50,100,300,2024-12-21
I000297,P00006,wh-01,0,0,100,2024-10-01
I000298,P00051,,0,0,,2024-09-27
I000299,P00095,WH03,99999,10,300,2021-11-22
I000300,P00274,WH01,0,100,500,2021-04-17
I000301,P00215,,-100,100,100,2024-08-18
I000302,P00066,WH01,-100,0,100,2024-07-12
I000303,P00248,WH02,-100,10,300,2021-08-24
I000304,P00237,,99999,10,300,2023-09-02
I000305,P00052,WH01,,0,100,2022-07-20
I000306,P00241,WH02,,,300,2021-09-08
I000307,P00287,WH02,-100,100,300,2024-07-09
I000308,P00294,WH02,50,,,2024-06-14
I000309,P00091,wh-01,1000,10,300,2021-06-22
I000310,P00246,wh-01,50,100,300,2023-07-25
I000311,P00070,wh-01,99999,100,500,2022-11-07
I000312,P00296,WH03,,,500,2024-08-15
I000313,P00259,,200,0,100,2023-10-16
I000314,P00108,wh-01,50,100,,2022-04-28
I000315,P00175,WH02,200,0,100,2023-06-04
I000316,P00157,wh-01,1000,100,500,2022-07-17
I000317,P00057,WH01,1000,100,,2022-04-29
I000318,P00257,WH03,50,0,,2024-07-06
I000319,P00252,WH03,200,0,500,2021-01-23
I000320,P00091,WH01,1000,,300,2021-08-14
I000321,P00273,WH02,99999,0,,2024-03-25
I000322,P00231,WH02,50,,,2022-01-02
I000323,P00061,,50,0,,2022-08-08
I000324,P00191,wh-01,1000,10,,2021-12-23
I000325,P00060,,0,100,,2023-12-07
I000326,P00210,WH01,50,100,,2024-03-20
I000327,P00238,wh-01,0,10,500,2021-01-28
I000328,P00042,wh-01,200,10,100,2022-04-06
I000329,P00063,wh-01,,,500,2024-07-31
I000330,P00179,wh-01,200,,,2023-12-31
I000331,P00202,WH01,,10,500,2022-04-12
I000332,P00084,WH02,50,100,100,2022-08-06
I000333,P00075,WH02,1000,0,300,2024-04-26
I000334,P00078,wh-01,0,,100,2022-01-05
I000335,P00115,WH02,0,,500,2024-06-21
I000336,P00105,wh-01,-100,100,,2024-12-29
I000337,P00037,,1000,10,500,2024-09-24
I000338,P00156,WH03,0,10,,2022-12-27
I000339,P00071,WH03,,100,300,2022-05-06
I000340,P00227,wh-01,50,,100,2023-12-22
I000341,P00193,WH03,50,0,100,2024-06-22
I000342,P00260,wh-01,50,10,300,2023-03-15
I000343,P00118,wh-01,0,10,500,2021-12-08
I000344,P00184,WH03,-100,10,,2022-05-20
I000345,P00107,,99999,0,100,2023-11-03
I000346,P00249,wh-01,200,100,500,2021-09-20
I000347,P00264,wh-01,0,0,,2022-11-16
I000348,P00137,wh-01,50,0,500,2022-01-13
I000349,P00032,WH01,99999,,,2023-07-29
I000350,P00188,WH01,,100,500,2021-02-25
I000351,P00188,WH03,-100,100,,2023-09-01
I000352,P00109,wh-01,-100,100,300,2021-01-02
I000353,P00191,wh-01,50,0,,2024-03-15
I000354,P00223,WH01,0,0,500,2024-05-23
I000355,P00011,WH02,200,100,,2023-05-21
I000356,P00014,WH01,200,,100,2023-06-02
I000357,P00288,WH01,1000,,,2024-08-20
I000358,P00074,wh-01,-100,100,,2021-06-12
I000359,P00013,wh-01,-100,100,100,2023-05-19
I000360,P00077,WH01,200,0,300,2024-09-19
I000361,P00228,,200,0,100,2022-07-30
I000362,P00214,WH01,1000,0,100,2021-11-06
I000363,P00152,WH01,1000,,100,2021-02-28
I000364,P00275,wh-01,0,10,,2024-12-24
I000365,P00215,WH02,200,,,2024-10-04
I000366,P00071,wh-01,,100,500,2024-12-16
I000367,P00229,WH02,,0,300,2021-11-18
I000368,P00030,WH02,50,10,100,2021-10-31
I000369,P00211,WH02,,100,,2023-10-14
I000370,P00294,WH02,200,,300,2024-05-08
I000371,P00024,WH02,50,,300,2022-05-20
I000372,P00145,WH01,-100,,100,2024-08-22
I000373,P00110,wh-01,50,0,300,2022-04-08
I000374,P00082,WH01,200,100,,2024-05-30
I000375,P00149,WH03,0,,,2023-07-29
I000376,P00047,WH03,1000,,300,2022-10-28
I000377,P00260,,1000,,,2022-07-09
I000378,P00014,WH01,1000,,500,2024-07-26
I000379,P00236,,200,0,,2023-07-31
I000380,P00022,wh-01,0,,100,2023-01-04
I000381,P00005,wh-01,0,10,300,2024-01-25
I000382,P00096,WH03,-100,100,100,2023-06-08
I000383,P00102,,0,,300,2023-08-19
I000384,P00287,WH01,50,0,500,2022-01-19
I000385,P00285,,200,,500,2021-03-31
I000386,P00081,WH02,200,10,100,2024-07-19
I000387,P00075,wh-01,-100,10,500,2023-06-17
I000388,P00202,wh-01,1000,10,500,2023-01-18
I000389,P00257,WH03,50,100,500,2023-02-05
I000390,P00266,wh-01,99999,0,100,2021-04-02
I000391,P00098,WH03,99999,100,300,2023-05-11
I000392,P00186,,-100,10,100,2022-05-08
I000393,P00055,WH02,99999,100,100,2024-07-08
I000394,P00287,WH01,,10,500,2023-11-15
I000395,P00198,,99999,10,,2024-03-25
I000396,P00207,wh-01,-100,10,,2023-11-09
I000397,P00129,wh-01,1000,10,100,2024-03-31
I000398,P00213,WH01,0,100,300,2021-05-21
I000399,P00230,WH01,99999,100,100,2024-10-03
I000400,P00049,wh-01,99999,0,,2022-01-31
I000401,P00083,WH03,0,,300,2021-11-09
I000402,P00256,,99999,,300,2021-06-30
I000403,P00163,,50,10,300,2021-05-23
I000404,P00293,WH01,200,100,100,2021-07-17
I000405,P00215,WH02,200,0,100,2023-12-11
I000406,P00140,WH02,,100,,2022-10-17
I000407,P00110,WH01,,,,2021-08-02
I000408,P00262,,0,100,300,2023-11-09
I000409,P00068,WH01,,100,,2023-12-23
I000410,P00265,WH03,1000,,,2024-06-01
I000411,P00282,WH02,0,10,,2022-04-11
I000412,P00007,WH03,0,0,300,2024-04-11
I000413,P00065,WH01,1000,100,,2024-02-09
I000414,P00197,WH01,-100,100,500,2024-01-28
I000415,P00151,,200,100,300,2023-08-19
I000416,P00272,WH01,200,0,500,2022-01-13
I000417,P00069,WH01,99999,10,100,2021-11-09
I000418,P00182,,-100,10,500,2024-01-30
I000419,P00210,WH02,200,0,500,2021-09-18
I000420,P00054,WH01,50,0,,2023-12-25
I000421,P00001,WH01,,0,300,2023-12-04
I000422,P00153,wh-01,0,0,,2021-03-31
I000423,P00253,wh-01,50,0,,2022-08-06
I000424,P00074,wh-01,1000,0,500,2021-01-13
I000425,P00239,wh-01,200,,100,2021-09-26
I000426,P00206,wh-01,1000,0,500,2023-10-06
I000427,P00068,,50,0,500,2022-12-06
I000428,P00097,WH03,,0,100,2023-02-11
I000429,P00185,wh-01,200,100,500,2024-03-26
I000430,P00053,wh-01,-100,,500,2024-04-19
I000431,P00079,wh-01,200,,100,2024-09-05
I000432,P00165,WH01,0,,100,2021-01-26
I000433,P00118,WH01,1000,100,100,2023-09-14
I000434,P00227,WH02,-100,10,300,2021-05-20
I000435,P00175,,1000,0,,2021-09-17
I000436,P00223,,0,100,100,2023-07-05
I000437,P00093,WH01,50,10,300,2024-12-28
I000438,P00119,wh-01,50,100,100,2022-12-17
I000439,P00223,WH01,-100,,300,2023-12-07
I000440,P00116,wh-01,0,100,100,2024-04-26
I000441,P00224,WH02,50,10,,2024-04-28
I000442,P00114,,,100,,2024-11-14
I000443,P00098,wh-01,50,0,,2023-06-23
I000444,P00022,WH02,-100,0,500,2022-04-14
I000445,P00100,WH01,50,100,,2024-02-07
I000446,P00111,WH03,,0,500,2021-06-02
I000447,P00236,WH01,,10,500,2023-08-06
I000448,P00246,WH02,-100,,100,2022-04-08
I000449,P00183,,50,100,500,2024-02-07
I000450,P00152,WH02,99999,,100,2024-05-05
I000451,P00030,WH03,,0,100,2024-04-05
I000452,P00280,WH01,200,0,300,2023-03-19
I000453,P00280,WH02,50,10,,2024-11-22
I000454,P00097,WH03,0,,300,2022-11-25
I000455,P00089,,200,10,500,2022-09-03
I000456,P00242,WH02,1000,10,100,2022-03-08
I000457,P00040,,,10,100,2024-11-02
I000458,P00100,,,,300,2022-03-18
I000459,P00234,WH01,200,,100,2023-12-24
I000460,P00079,WH03,200,,500,2021-11-22
I000461,P00169,WH02,,0,,2021-11-03
I000462,P00052,WH01,0,,100,2024-05-30
I000463,P00244,WH02,200,100,100,2024-12-06
I000464,P00291,WH03,99999,0,,2023-05-14
I000465,P00005,WH02,0,10,300,2023-04-01
I000466,P00197,WH03,0,,,2021-09-12
I000467,P00235,WH03,0,,100,2021-03-04
I000468,P00052,wh-01,99999,10,300,2024-06-20
I000469,P00024,WH03,1000,,500,2022-10-03
I000470,P00193,,1000,100,,2021-05-19
I000471,P00191,wh-01,200,100,,2021-11-19
I000472,P00222,WH01,-100,100,,2021-06-12
I000473,P00274,WH03,,,,2022-10-24
I000474,P00187,WH02,0,0,,2022-01-06
I000475,P00273,WH01,0,10,,2023-02-01
I000476,P00210,,99999,10,300,2022-09-25
I000477,P00048,,-100,10,500,2024-02-16
I000478,P00119,WH01,99999,100,500,2024-01-15
I000479,P00270,wh-01,99999,,500,2022-08-23
I000480,P00265,WH03,200,10,300,2024-02-01
I000481,P00221,WH03,-100,10,500,2022-04-26
I000482,P00083,WH02,50,0,500,2024-06-29
I000483,P00286,,0,10,100,2023-02-10
I000484,P00268,WH01,99999,100,100,2023-06-08
I000485,P00168,WH02,200,0,500,2024-03-27
I000486,P00245,WH02,200,,300,2022-04-29
I000487,P00196,WH01,99999,,300,2021-07-25
I000488,P00175,WH01,-100,0,300,2022-05-11
I000489,P00269,WH01,200,100,100,2024-04-13
I000490,P00010,WH03,0,0,500,2022-04-20
I000491,P00031,WH01,0,,100,2024-12-07
I000492,P00284,WH02,,,100,2021-03-11
I000493,P00069,WH02,99999,,100,2023-07-10
I000494,P00011,WH01,,,300,2021-04-12
I000495,P00197,WH03,1000,,300,2021-04-20
I000496,P00268,,1000,,300,2024-06-26
I000497,P00073,wh-01,0,10,100,2023-01-22
I000498,P00159,wh-01,200,10,100,2021-02-16
I000499,P00111,wh-01,-100,100,300,2022-01-13
I000500,P00290,wh-01,50,,500,2022-02-03
I000501,P00122,WH02,50,0,500,2022-07-04
I000502,P00174,WH03,-100,10,500,2021-02-27
I000503,P00006,WH03,,0,,2023-02-05
I000504,P00180,wh-01,0,10,500,2023-05-01
I000505,P00040,WH01,-100,10,,2024-05-13
I000506,P00218,wh-01,-100,,,2023-02-28
I000507,P00291,WH01,1000,10,,2021-06-15
I000508,P00005,,,10,300,2023-11-29
I000509,P00064,wh-01,200,,500,2021-08-19
I000510,P00040,wh-01,-100,10,,2023-02-19
I000511,P00082,WH03,200,100,100,2021-07-13
I000512,P00203,WH03,50,100,300,2024-02-05
I000513,P00161,WH01,0,100,500,2023-05-25
I000514,P00230,wh-01,99999,100,,2022-06-02
I000515,P00087,WH01,0,10,100,2022-08-20
I000516,P00115,WH01,0,0,300,2022-01-30
I000517,P00228,WH02,200,100,100,2021-03-16
I000518,P00256,WH03,0,0,100,2024-03-25
I000519,P00157,WH03,200,100,500,2023-07-21
I000520,P00042,WH01,99999,100,100,2022-03-19
I000521,P00100,WH03,99999,0,,2023-07-04
I000522,P00274,,99999,100,100,2022-09-02
I000523,P00022,,1000,,500,2021-10-12
I000524,P00198,WH01,,10,500,2024-02-28
I000525,P00159,WH01,1000,10,300,2022-01-08
I000526,P00096,wh-01,-100,,300,2021-05-02
I000527,P00212,WH02,,10,,2023-05-29
I000528,P00231,wh-01,,100,100,2022-04-06
I000529,P00288,WH01,50,0,300,2023-05-26
I000530,P00048,WH03,99999,0,500,2022-05-16
I000531,P00073,WH01,1000,100,500,2022-06-12
I000532,P00235,wh-01,200,10,500,2024-07-14
I000533,P00054,,50,10,100,2021-05-28
I000534,P00045,,0,10,100,2022-11-02
I000535,P00217,WH01,1000,0,300,2021-03-11
I000536,P00183,WH01,0,100,100,2024-07-10
I000537,P00262,wh-01,99999,10,500,2024-03-18
I000538,P00024,WH03,200,100,500,2021-01-02
I000539,P00207,wh-01,1000,10,,2021-06-24
I000540,P00106,WH03,200,100,300,2022-10-07
I000541,P00023,WH03,1000,10,500,2021-06-27
I000542,P00296,,200,0,300,2024-11-01
I000543,P00090,wh-01,99999,0,100,2021-06-01
I000544,P00058,WH02,99999,10,300,2022-12-20
I000545,P00202,WH02,50,100,,2021-11-25
I000546,P00156,WH01,50,100,500,2023-01-19
I000547,P00182,WH01,,100,100,2024-03-25
I000548,P00189,WH03,-100,,,2024-08-19
I000549,P00038,wh-01,-100,,500,2023-08-06
I000550,P00057,WH02,50,100,300,2023-08-17
I000551,P00220,WH01,-100,,,2024-12-20
I000552,P00210,WH03,1000,100,,2024-04-14
I000553,P00104,wh-01,,0,500,2024-08-21
I000554,P00195,WH02,99999,10,,2023-11-15
I000555,P00187,wh-01,-100,,500,2021-11-07
I000556,P00115,WH01,99999,,500,2024-05-30
I000557,P00264,,50,10,,2022-07-10
I000558,P00110,wh-01,99999,0,100,2024-01-06
I000559,P00037,WH03,99999,10,100,2021-05-18
I000560,P00107,WH03,200,10,100,2022-05-17
I000561,P00180,,,100,300,2021-04-04
I000562,P00268,wh-01,,100,300,2021-04-15
I000563,P00004,wh-01,,100,100,2021-01-25
I000564,P00129,wh-01,0,10,500,2023-08-26
I000565,P00127,WH02,200,10,100,2024-02-06
I000566,P00296,,1000,,500,2024-07-19
